RK,TEAM,GP,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
28,Gonzaga,33,79.7,28.2-57.9,0.486,7.8-20.7,0.378,15.6-20.5,0.76
29,Kentucky,33,79.6,28.6-59.7,0.478,6.8-18.6,0.369,15.6-22.8,0.684
29,UT Arlington,33,79.6,27.4-64.5,0.424,8.9-27.2,0.328,16.0-23.0,0.695
29,Iona,32,79.6,27.8-60.8,0.456,10.0-26.9,0.372,14.1-19.8,0.712
29,Creighton,32,79.6,27.9-59.5,0.468,8.2-23.3,0.352,15.6-22.3,0.702
33,UL Lafayette,31,79.5,27.3-61.5,0.444,6.5-21.1,0.306,18.4-26.4,0.696
34,Northwestern State,28,79.4,27.5-60.3,0.456,7.4-20.6,0.358,17.0-22.3,0.766
34,Colorado State,34,79.4,25.8-60.7,0.425,9.6-26.4,0.364,18.2-25.3,0.718
34,Monmouth,34,79.4,26.6-61.0,0.436,7.9-21.2,0.37,18.3-23.9,0.766
34,Louisiana Tech,32,79.4,27.7-60.3,0.46,7.1-21.3,0.331,17.0-25.4,0.669
38,Milwaukee,33,79.3,26.6-58.4,0.456,9.3-25.5,0.363,16.8-21.8,0.772
39,UNC Wilmington,32,79.2,28.1-61.6,0.456,6.8-20.3,0.336,16.3-23.2,0.702
39,West Virginia,34,79.2,27.3-60.3,0.452,6.1-18.4,0.329,18.6-27.8,0.67
41,Davidson,32,79.2,27.1-61.3,0.443,9.5-26.8,0.354,15.4-20.3,0.76
42,Princeton,28,79,27.5-59.0,0.466,9.7-24.9,0.389,14.3-20.2,0.707
42,UAB,32,79,28.6-59.7,0.479,7.4-20.1,0.37,14.3-19.9,0.717
44,Bucknell,30,78.9,26.8-57.5,0.466,7.4-20.3,0.367,18.0-25.1,0.715
45,LSU,33,78.8,27.7-60.3,0.46,6.2-18.8,0.327,17.2-25.9,0.665
45,Oregon,34,78.8,27.4-58.7,0.467,6.9-19.7,0.349,17.1-23.9,0.713
45,Hofstra,33,78.8,26.8-60.4,0.444,8.5-23.8,0.355,16.8-24.4,0.687
48,Tennessee Tech,30,78.6,25.7-56.0,0.459,8.6-23.7,0.365,18.5-25.0,0.742
49,Duquesne,32,78.5,27.8-60.8,0.458,9.4-25.9,0.363,13.4-19.6,0.685
49,Lipscomb,33,78.5,26.9-61.1,0.44,10.0-27.9,0.359,14.6-21.1,0.695
51,Ohio,32,78.4,26.8-56.8,0.472,8.5-21.8,0.391,16.2-21.5,0.75
52,Charlotte,33,78.3,27.9-62.6,0.445,8.1-21.1,0.382,14.5-20.8,0.698
53,UNLV,33,78.2,26.9-61.1,0.44,7.6-23.0,0.332,16.8-24.7,0.681
53,Purdue,33,78.2,27.7-58.3,0.474,7.8-20.8,0.372,15.1-20.4,0.74
53,Arkansas,32,78.2,27.6-62.3,0.443,6.8-17.0,0.397,16.2-23.4,0.694
53,Siena,33,78.2,27.3-58.7,0.465,6.2-17.1,0.365,17.4-24.0,0.723
57,Iowa,31,78.1,27.6-61.2,0.45,8.2-21.5,0.382,14.7-20.5,0.719
57,Florida State,32,78.1,27.9-60.0,0.466,6.7-19.3,0.347,15.5-22.5,0.689
59,Fairleigh Dickinson,32,77.9,28.3-61.2,0.463,7.2-19.8,0.363,14.1-20.2,0.699
59,Houston,31,77.9,28.1-60.3,0.467,6.9-19.5,0.352,14.7-20.9,0.704
61,St Bonaventure,30,77.8,26.2-58.8,0.446,8.2-21.9,0.377,17.2-22.2,0.772
61,East Tennessee State,34,77.8,27.2-58.8,0.462,8.0-21.1,0.377,15.4-21.7,0.711
63,Portland State,31,77.7,29.3-61.4,0.477,5.4-16.7,0.322,13.7-20.8,0.659
64,High Point,31,77.6,27.8-57.9,0.481,5.6-14.7,0.383,16.3-21.4,0.764
64,San Francisco,30,77.6,26.9-61.3,0.44,7.8-21.9,0.354,16.0-23.6,0.678
64,Utah,34,77.6,27.3-55.8,0.489,7.6-21.0,0.363,15.4-21.6,0.714
64,Hawai'i,32,77.6,26.3-57.0,0.462,7.2-22.0,0.327,17.7-26.0,0.681
64,Portland,32,77.6,27.1-62.9,0.431,9.0-24.6,0.367,14.3-19.8,0.724
64,Toledo,32,77.6,27.0-58.8,0.46,8.2-22.6,0.364,15.3-20.5,0.747
64,Buffalo,34,77.6,26.2-59.9,0.438,7.4-22.1,0.337,17.6-24.9,0.71
71,UCLA,32,77.5,28.6-63.0,0.454,6.3-17.2,0.363,14.1-20.3,0.691
71,Boise State,32,77.5,26.3-58.1,0.453,8.2-24.6,0.331,16.7-23.6,0.709
73,UTEP,33,77.4,27.2-58.4,0.465,6.8-18.7,0.361,16.3-24.5,0.666
73,Eastern Michigan,33,77.4,26.5-59.4,0.446,5.7-18.2,0.311,18.7-25.9,0.721
75,Army,32,77.3,27.2-63.1,0.431,8.9-26.4,0.336,14.1-20.2,0.696
75,Saint Joseph's,33,77.3,27.0-60.1,0.449,7.2-21.8,0.328,16.2-22.5,0.719
75,VCU,33,77.3,28.0-62.1,0.452,7.3-20.2,0.361,14.0-20.2,0.69
75,SMU,30,77.3,28.6-57.6,0.497,6.5-15.4,0.42,13.6-19.5,0.7
79,Baylor,33,77.2,27.4-58.6,0.467,6.2-16.8,0.367,16.2-22.3,0.727
80,Memphis,33,77.1,25.9-62.7,0.414,6.1-18.8,0.325,19.2-26.5,0.724
81,Western Kentucky,34,77.1,27.2-57.9,0.47,6.9-18.9,0.362,15.8-22.6,0.699
82,Akron,34,77,26.1-60.0,0.435,11.8-30.2,0.389,13.0-18.8,0.693
82,Villanova,34,77,26.6-56.9,0.467,8.6-24.9,0.344,15.2-19.5,0.777
82,Florida Gulf Coast,33,77,28.8-60.3,0.477,5.3-14.9,0.357,14.1-21.8,0.647
85,Houston Baptist,33,76.9,26.5-55.8,0.476,5.9-16.4,0.362,17.9-25.0,0.715
85,William & Mary,31,76.9,27.2-56.6,0.48,7.8-21.1,0.369,14.7-20.5,0.719
85,Fairfield,32,76.9,26.7-60.2,0.444,9.0-24.9,0.362,14.5-19.7,0.735
88,Stony Brook,32,76.8,28.5-59.9,0.476,6.8-18.3,0.372,13.0-19.3,0.672
88,Grand Canyon,31,76.8,26.6-58.2,0.457,6.2-16.7,0.371,17.5-24.8,0.704
88,Vanderbilt,32,76.8,26.3-57.1,0.461,8.4-21.7,0.388,15.8-22.5,0.699
91,Weber State,34,76.7,26.1-53.9,0.484,8.4-22.6,0.374,16.1-23.8,0.677
92,UMass Lowell,29,76.6,27.6-58.8,0.469,8.3-22.7,0.364,13.1-19.2,0.685
92,Richmond,32,76.6,27.8-57.8,0.482,7.5-21.1,0.356,13.4-20.3,0.661
94,Canisius,33,76.5,25.6-61.0,0.42,8.6-25.3,0.341,16.7-22.5,0.741
95,Montana State,31,76.4,26.8-61.8,0.434,9.6-25.7,0.373,13.2-19.3,0.686
95,Jacksonville,32,76.4,27.1-62.0,0.436,8.7-22.3,0.389,13.6-20.0,0.678
97,South Dakota,32,76.3,28.5-61.1,0.467,6.3-17.7,0.356,13.1-18.6,0.701
97,Marquette,33,76.3,26.8-57.2,0.468,5.9-17.3,0.339,16.8-23.2,0.726
97,South Dakota State,33,76.3,25.8-57.3,0.451,7.4-20.8,0.357,17.2-23.2,0.739
100,Columbia,31,76.2,25.7-56.7,0.454,9.5-25.3,0.374,15.3-21.5,0.711
100,LIU Brooklyn,31,76.2,26.2-60.8,0.431,5.8-19.5,0.297,18.0-25.2,0.714
100,Youngstown St,32,76.2,27.2-63.2,0.43,8.0-22.0,0.365,13.8-19.3,0.711
103,Maryland,33,76.1,26.5-54.4,0.488,7.6-20.4,0.374,15.3-20.2,0.76
104,Pittsburgh,32,76,26.9-58.5,0.46,6.3-18.1,0.348,16.0-21.2,0.754
104,Colorado,33,76,25.5-60.0,0.425,7.6-19.3,0.392,17.4-23.6,0.738
104,Austin Peay,35,76,26.3-56.8,0.463,6.3-18.0,0.348,17.2-25.7,0.67
104,New Mexico,32,76,25.9-55.7,0.465,6.1-16.9,0.363,18.1-24.5,0.738
104,Oral Roberts,31,76,26.8-58.7,0.457,6.3-16.6,0.377,16.1-21.5,0.749
104,Utah Valley,30,76,26.2-61.1,0.428,8.5-24.3,0.351,15.1-20.9,0.723
104,Maine,30,76,27.5-63.6,0.432,7.6-22.4,0.339,13.4-20.4,0.656
111,Elon,32,75.9,27.0-60.7,0.445,9.5-27.7,0.342,12.4-18.7,0.661
111,South Carolina,32,75.9,25.6-60.0,0.427,6.3-17.9,0.352,18.3-26.9,0.682
111,Georgia Southern,31,75.9,25.2-61.4,0.41,9.1-26.9,0.338,16.4-23.5,0.699
111,Texas A&M,33,75.9,26.6-59.1,0.45,7.7-21.9,0.353,14.9-22.2,0.673
115,Rice,32,75.8,25.4-56.2,0.452,7.1-22.4,0.318,17.9-24.2,0.741
115,Chattanooga,34,75.8,25.6-56.0,0.456,7.6-20.9,0.364,17.1-23.3,0.733
115,Valparaiso,32,75.8,26.1-59.1,0.442,8.1-22.4,0.362,15.4-21.3,0.724
118,Notre Dame,32,75.7,27.2-57.6,0.471,7.3-19.9,0.369,14.1-19.1,0.735
118,Central Michigan,32,75.7,26.3-59.5,0.442,9.7-27.3,0.354,13.5-18.8,0.718
120,UNC Asheville,33,75.6,26.6-58.1,0.458,5.8-17.8,0.324,16.7-24.1,0.694
121,Miami,32,75.6,26.2-54.9,0.477,6.8-18.7,0.366,16.5-21.9,0.751
122,NJIT,31,75.5,25.9-58.4,0.444,8.6-24.8,0.346,15.0-20.2,0.743
123,Lamar,30,75.4,25.7-60.7,0.423,6.6-20.6,0.319,17.5-26.0,0.671
123,Central Arkansas,28,75.4,26.2-59.1,0.443,6.6-17.8,0.372,16.3-24.8,0.659
125,Fresno State,34,75.3,26.5-61.0,0.434,6.2-18.2,0.342,16.1-23.3,0.692
126,George Washington,33,75.2,25.5-57.5,0.444,6.9-18.8,0.368,17.3-22.9,0.757
126,NC State,33,75.2,26.2-60.6,0.433,6.3-18.0,0.348,16.5-23.5,0.699
126,Yale,28,75.2,26.6-56.4,0.471,6.5-17.3,0.374,15.6-23.5,0.663
126,Ole Miss,32,75.2,24.9-59.8,0.416,7.9-23.3,0.338,17.5-24.7,0.709
126,James Madison,32,75.2,25.9-57.8,0.449,8.7-24.2,0.359,14.6-21.3,0.685
126,Albany,32,75.2,25.4-55.3,0.459,5.6-17.5,0.321,18.8-25.1,0.748
132,California,33,75.1,26.3-57.0,0.461,7.1-19.2,0.369,15.5-23.6,0.656
132,Tennessee,34,75.1,26.2-62.2,0.421,7.4-22.6,0.327,15.4-21.2,0.725
134,Gardner-Webb,33,75,26.4-61.8,0.427,8.4-24.5,0.341,13.9-21.2,0.653
134,Vermont,34,75,26.9-55.2,0.487,6.9-17.8,0.387,14.3-20.3,0.705
134,Sam Houston State,33,75,25.8-59.3,0.435,7.7-22.6,0.342,15.7-22.6,0.692
134,Louisville,31,75,27.9-59.6,0.469,6.0-17.3,0.347,13.1-19.0,0.69
134,New Orleans,30,75,25.4-60.7,0.419,5.4-16.0,0.337,18.7-27.2,0.688
139,Mississippi State,31,74.9,27.4-60.1,0.456,7.3-21.7,0.334,12.8-17.7,0.725
139,Saint Mary's,32,74.9,27.5-53.9,0.509,8.9-21.5,0.413,11.1-15.9,0.697
141,Seton Hall,33,74.8,26.4-58.7,0.45,6.1-17.4,0.353,15.9-23.8,0.666
141,Hampton,31,74.8,25.6-61.6,0.415,6.5-21.3,0.308,17.1-26.0,0.657
143,Coastal Carolina,29,74.7,26.6-57.7,0.461,7.4-21.4,0.345,14.2-21.3,0.667
144,North Dakota,32,74.6,26.5-58.2,0.456,6.0-16.8,0.356,15.6-22.9,0.682
144,Virginia Tech,33,74.6,24.8-55.2,0.449,5.8-16.2,0.357,19.2-27.5,0.7
144,North Texas,32,74.6,25.9-57.4,0.452,5.8-17.7,0.33,16.8-26.2,0.643
147,Nevada,32,74.5,25.5-61.4,0.416,5.1-17.7,0.287,18.3-25.0,0.732
148,Michigan,34,74.3,26.4-56.6,0.466,9.6-25.0,0.384,11.9-16.1,0.737
148,Evansville,34,74.3,25.9-52.8,0.49,4.6-13.2,0.353,17.9-24.8,0.724
150,Idaho State,31,74.2,24.8-57.0,0.436,8.1-22.1,0.364,16.4-22.6,0.727
151,Wake Forest,31,74,25.6-58.2,0.44,6.3-19.9,0.316,16.6-25.1,0.66
151,Tulsa,31,74,25.7-57.8,0.444,7.0-21.2,0.329,15.7-23.1,0.678
151,Providence,33,74,25.2-59.8,0.422,7.1-22.1,0.321,16.4-22.5,0.727
151,Incarnate Word,29,74,24.8-57.0,0.434,8.1-21.4,0.376,16.4-21.4,0.766
155,Norfolk State,33,73.9,24.0-56.3,0.426,7.3-20.6,0.353,18.7-24.1,0.775
155,Samford,33,73.9,25.6-56.3,0.455,5.4-16.6,0.323,17.4-24.2,0.718
155,Northern Colorado,31,73.9,25.2-55.8,0.451,6.5-17.7,0.37,17.1-23.5,0.728
155,Sacred Heart,30,73.9,26.2-59.8,0.437,5.6-18.1,0.311,15.9-23.2,0.688
155,Louisiana Monroe,32,73.9,26.7-58.0,0.46,6.8-18.8,0.36,13.8-19.6,0.702
155,Long Beach State,34,73.9,25.3-59.0,0.429,8.2-22.3,0.369,15.1-22.0,0.684
161,Kent State,32,73.8,26.1-58.5,0.446,5.8-17.6,0.328,15.9-23.3,0.683
161,Southern Illinois,32,73.8,25.9-57.1,0.453,6.6-19.3,0.343,15.4-22.4,0.685
163,Georgetown,33,73.6,24.8-56.3,0.441,7.9-23.3,0.339,16.0-21.3,0.751
163,Texas A&M-CC,32,73.6,25.4-58.1,0.438,6.4-19.0,0.338,16.3-22.1,0.737
163,Arkansas State,31,73.6,24.8-59.8,0.415,5.8-18.4,0.316,18.1-24.7,0.734
163,Florida,33,73.6,25.4-60.2,0.422,6.9-22.2,0.312,15.9-24.7,0.643
163,Campbell,30,73.6,24.8-55.7,0.445,7.5-22.5,0.332,16.5-23.0,0.717
168,Massachusetts,32,73.5,25.5-59.5,0.429,7.3-22.2,0.33,15.2-21.7,0.699
168,Connecticut,33,73.5,26.6-57.9,0.459,7.0-19.3,0.363,13.2-16.9,0.785
168,Pepperdine,31,73.5,26.2-57.9,0.453,5.0-14.4,0.345,16.0-23.7,0.676
171,Utah State,31,73.4,25.9-57.4,0.451,8.3-22.4,0.37,13.3-19.3,0.692
172,Tennessee State,30,73.3,25.7-56.4,0.455,5.4-16.5,0.329,16.5-23.7,0.695
172,Arizona State,32,73.3,24.9-60.0,0.415,7.9-23.6,0.336,15.6-22.7,0.687
174,Georgia Tech,33,73.2,26.7-60.0,0.445,5.8-16.6,0.35,14.0-19.4,0.719
174,Wichita State,32,73.2,25.0-57.7,0.434,7.3-22.2,0.33,15.8-22.2,0.714
174,Boston University,32,73.2,25.4-55.8,0.455,7.9-21.7,0.363,14.5-20.3,0.715
174,Cincinnati,32,73.2,25.7-60.2,0.428,7.6-21.9,0.345,14.2-20.2,0.704
174,Dayton,32,73.2,25.6-55.6,0.46,6.7-19.4,0.347,15.3-22.8,0.673
174,Western Michigan,32,73.2,24.6-57.0,0.431,6.2-17.8,0.346,17.9-25.2,0.712
180,Radford,31,73.1,27.2-60.8,0.448,7.3-21.2,0.343,11.4-17.5,0.651
180,South Carolina State,33,73.1,25.9-57.4,0.452,5.9-17.3,0.343,15.2-21.1,0.723
182,CSU Bakersfield,32,73,26.5-58.8,0.451,5.4-15.8,0.344,14.5-22.3,0.653
183,Southern,34,72.9,26.1-58.6,0.446,6.1-17.4,0.353,14.6-21.9,0.669
183,UNC Greensboro,32,72.9,26.3-58.5,0.449,8.6-23.8,0.363,11.8-17.3,0.682
183,Western Carolina,33,72.9,25.1-58.2,0.43,7.1-21.4,0.331,15.7-22.3,0.702
183,Brown,28,72.9,24.9-58.0,0.429,8.0-22.8,0.352,15.0-21.4,0.702
187,Texas Southern,32,72.8,25.6-55.9,0.458,6.8-20.1,0.341,14.8-23.5,0.629
188,Northern Illinois,33,72.7,24.9-58.1,0.428,7.1-20.2,0.351,15.9-23.2,0.685
188,Middle Tennessee,33,72.7,26.0-57.6,0.451,7.9-20.4,0.386,12.9-20.9,0.617
188,UT Martin,33,72.7,25.2-56.9,0.443,7.8-22.6,0.343,14.4-20.3,0.709
191,Longwood,33,72.6,26.1-57.5,0.453,6.9-19.7,0.349,13.6-19.3,0.708
192,Montana,32,72.4,25.4-54.7,0.464,7.6-20.6,0.368,14.1-20.3,0.694
192,UT San Antonio,32,72.4,24.9-59.8,0.416,6.9-21.6,0.318,15.8-22.5,0.702
192,Mercer,33,72.4,25.7-57.5,0.448,6.2-17.9,0.349,14.7-20.2,0.727
192,Texas Tech,31,72.4,24.5-54.8,0.447,5.7-16.7,0.344,17.6-23.6,0.746
192,Cal Poly,30,72.4,25.2-60.4,0.416,7.9-22.7,0.349,14.1-20.9,0.676
192,Morehead State,31,72.4,25.8-58.9,0.439,6.0-16.0,0.375,14.7-21.2,0.693
198,South Carolina Upstate,32,72.3,26.9-59.8,0.449,6.8-20.0,0.34,11.8-18.5,0.637
198,Coppin State,31,72.3,23.9-62.3,0.384,7.7-23.1,0.333,16.8-23.8,0.706
200,Nebraska,34,72.2,26.0-58.1,0.447,6.5-18.6,0.347,13.8-18.9,0.73
201,Kennesaw State,31,72.2,26.2-58.9,0.444,5.8-16.4,0.353,14.1-20.2,0.701
201,Howard,32,72.2,23.4-57.7,0.406,4.5-15.2,0.296,20.8-28.6,0.73
203,Illinois,34,72.1,25.3-58.6,0.432,8.1-22.5,0.363,13.3-17.9,0.746
203,UMBC,32,72.1,24.6-55.9,0.441,6.8-20.4,0.331,16.1-23.6,0.683
203,Oregon State,31,72.1,25.4-57.5,0.441,6.8-18.4,0.37,14.5-21.7,0.671
206,Northeastern,33,72,24.0-54.8,0.439,8.7-23.3,0.371,15.3-21.3,0.716
206,Northwestern,32,72,26.2-58.1,0.45,8.7-24.3,0.358,11.0-16.5,0.667
208,McNeese,29,71.8,24.8-60.4,0.411,7.1-21.3,0.332,15.2-21.7,0.7
208,New Mexico State,33,71.8,26.2-56.2,0.466,5.2-15.8,0.333,14.2-20.9,0.676
208,Wofford,32,71.8,24.1-53.9,0.447,8.4-20.7,0.408,15.1-20.2,0.75
211,Wyoming,32,71.7,22.5-50.8,0.443,10.0-26.8,0.372,16.7-23.3,0.716
212,Charleston Southern,30,71.5,25.8-60.3,0.428,9.3-27.0,0.346,10.6-17.1,0.621
212,Alabama State,31,71.5,25.4-61.9,0.411,6.9-20.9,0.332,13.7-20.1,0.684
212,Eastern Illinois,30,71.5,25.5-57.9,0.44,7.7-22.1,0.35,12.8-19.6,0.655
212,Marist,30,71.5,24.1-57.1,0.422,8.3-24.2,0.342,15.0-20.5,0.733
212,UC Santa Barbara,31,71.5,26.3-59.3,0.444,7.6-20.7,0.367,11.2-15.9,0.706
217,Towson,32,71.4,24.3-57.0,0.427,5.6-17.3,0.322,17.2-25.3,0.679
217,CSU Northridge,30,71.4,24.8-57.5,0.432,4.2-14.2,0.296,17.6-24.5,0.717
217,Furman,33,71.4,24.2-53.1,0.456,7.2-22.2,0.323,15.8-22.5,0.704
217,Lafayette,30,71.4,25.3-58.0,0.435,8.2-22.4,0.365,12.7-18.4,0.691
217,Murray State,31,71.4,24.8-54.6,0.455,7.3-20.0,0.364,14.3-19.8,0.724
222,Texas,32,71.3,24.7-57.1,0.432,7.0-20.5,0.339,15.1-22.7,0.665
222,Fordham,30,71.3,25.2-56.3,0.448,7.7-22.4,0.345,13.1-19.2,0.683
222,Sacramento State,31,71.3,25.5-57.5,0.443,6.7-19.9,0.338,13.6-20.2,0.671
222,Abilene Christian,31,71.3,24.9-55.0,0.452,6.7-18.4,0.367,14.8-21.1,0.701
226,Loyola Marymount,31,71.2,25.7-61.4,0.418,7.3-21.6,0.339,12.5-17.3,0.726
226,Florida International,32,71.2,26.1-55.6,0.469,5.7-15.6,0.363,13.4-20.2,0.664
228,Dartmouth,28,71.1,25.0-57.4,0.436,5.6-16.4,0.341,15.6-21.5,0.723
228,Cornell,28,71.1,25.1-59.8,0.42,8.3-24.4,0.341,12.6-19.4,0.651
228,UC Irvine,34,71.1,25.4-55.2,0.46,6.2-16.7,0.371,14.1-20.6,0.684
228,New Hampshire,31,71.1,24.6-58.8,0.418,6.5-19.9,0.326,15.4-21.4,0.72
232,SE Louisiana,33,71,25.2-55.5,0.453,7.3-19.7,0.371,13.4-21.0,0.635
232,Little Rock,32,71,25.3-55.5,0.456,7.6-19.5,0.39,12.8-17.4,0.732
234,Lehigh,32,70.9,25.3-55.5,0.456,7.4-18.9,0.392,12.8-17.7,0.727
235,Hartford,33,70.8,23.5-57.8,0.408,9.7-27.3,0.354,14.0-18.8,0.748
236,Kansas State,33,70.7,24.4-56.8,0.429,5.3-17.7,0.3,16.6-24.2,0.688
236,Auburn,31,70.7,23.4-58.7,0.398,8.8-25.8,0.34,15.2-24.1,0.632
238,Bowling Green,34,70.6,25.0-56.3,0.444,6.0-16.6,0.361,14.7-22.4,0.657
238,Bethune-Cookman,32,70.6,25.0-60.4,0.414,7.8-24.6,0.316,12.8-18.7,0.688
240,Washington State,31,70.5,26.0-56.9,0.456,5.9-17.1,0.347,12.7-17.8,0.712
241,Appalachian St,31,70.5,23.2-57.9,0.401,8.3-23.2,0.356,15.9-22.6,0.703
241,Northern Kentucky,30,70.5,25.2-57.3,0.439,7.8-21.9,0.357,12.4-18.2,0.683
241,Western Illinois,27,70.5,25.0-56.3,0.444,7.0-18.1,0.388,13.4-18.6,0.721
241,San José State,31,70.5,24.4-57.5,0.424,6.8-22.2,0.308,14.9-22.6,0.659
241,Wagner,32,70.5,25.3-59.3,0.427,5.9-18.0,0.329,14.0-19.7,0.712
246,Ohio State,33,70.4,25.2-56.6,0.444,6.3-18.5,0.34,13.8-20.6,0.672
246,Virginia,33,70.4,25.7-52.8,0.487,6.0-14.8,0.405,12.9-17.1,0.754
248,Southern Utah,29,70.3,24.4-55.9,0.436,6.9-19.0,0.364,14.7-20.6,0.712
248,Ball State,32,70.3,24.3-54.3,0.447,8.6-23.0,0.374,13.2-19.2,0.688
248,St Francis (PA),30,70.3,23.9-56.7,0.421,7.3-20.2,0.359,15.3-22.1,0.695
251,Syracuse,32,70.2,23.9-56.1,0.427,8.8-24.3,0.361,13.6-19.9,0.683
252,CS Fullerton,30,70.1,23.3-56.7,0.41,6.4-19.4,0.332,17.2-24.8,0.693
252,Georgia,32,70.1,23.3-55.3,0.421,6.4-17.5,0.366,17.2-24.5,0.702
254,Idaho,33,69.9,23.5-53.3,0.442,6.6-17.4,0.379,16.2-22.9,0.709
255,Colgate,30,69.8,24.9-55.8,0.447,8.9-23.9,0.372,11.1-16.3,0.68
256,UC Riverside,33,69.7,23.9-55.7,0.429,7.6-21.7,0.352,14.3-20.3,0.704
256,Loyola (MD),30,69.7,24.4-56.7,0.43,5.4-17.7,0.304,15.5-21.8,0.712
258,Clemson,31,69.6,24.3-55.6,0.437,7.7-21.8,0.352,13.4-18.5,0.723
258,Stanford,30,69.6,23.5-55.1,0.426,5.7-17.9,0.32,16.9-24.8,0.684
258,Pacific,28,69.6,24.5-55.7,0.439,6.8-20.6,0.33,13.9-20.5,0.675
261,UMKC,31,69.4,24.1-56.1,0.429,6.9-19.0,0.362,14.4-21.4,0.674
261,Rhode Island,32,69.4,24.4-55.1,0.444,6.7-18.3,0.365,13.8-20.7,0.669
261,North Carolina Central,32,69.4,24.3-56.4,0.432,6.3-18.0,0.348,14.4-21.8,0.663
261,VMI,30,69.4,24.3-59.0,0.412,8.8-26.1,0.336,12.0-16.6,0.723
265,South Alabama,33,69.2,23.8-58.1,0.409,6.5-20.0,0.323,15.2-22.6,0.673
265,Troy,31,69.2,23.9-58.6,0.407,6.7-21.7,0.309,14.7-23.0,0.641
267,Wisconsin,32,68.9,23.5-54.6,0.43,6.6-18.4,0.358,15.3-21.7,0.707
268,North Dakota State,33,68.8,24.8-55.7,0.445,6.5-19.1,0.34,12.8-18.8,0.683
268,Manhattan,31,68.8,22.8-53.0,0.431,7.5-20.7,0.361,15.6-21.1,0.74
270,UCF,30,68.7,23.8-55.5,0.43,6.9-21.7,0.318,14.2-20.6,0.687
270,Temple,32,68.7,24.8-61.2,0.405,7.8-23.1,0.34,11.3-16.5,0.684
272,Missouri,31,68.6,23.6-56.0,0.422,5.6-18.2,0.31,15.7-22.2,0.708
273,Wright State,35,68.5,24.5-54.7,0.447,7.3-19.6,0.373,12.3-17.7,0.694
273,Old Dominion,35,68.5,25.9-58.6,0.442,4.1-13.6,0.301,12.6-18.5,0.679
273,Northern Arizona,30,68.5,23.3-58.2,0.4,7.3-21.6,0.339,14.5-20.6,0.704
276,Air Force,32,68.4,23.5-54.9,0.428,6.3-18.6,0.339,15.1-22.1,0.683
277,East Carolina,32,68.3,23.8-55.9,0.425,7.3-21.4,0.339,13.5-19.4,0.697
277,Penn,28,68.3,24.5-57.4,0.427,7.1-23.5,0.304,12.2-18.1,0.671
