RK,TEAM,GP,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
1,Oakland,32,86.3,28.8-62.7,0.459,8.9-22.4,0.396,19.9-26.0,0.768
2,The Citadel,32,86,29.3-70.3,0.417,11.3-35.1,0.323,16.1-22.0,0.729
2,Marshall,33,86,30.8-66.2,0.466,10.1-29.8,0.337,14.3-20.6,0.693
4,North Florida,33,84.8,29.6-60.9,0.486,12.2-29.6,0.411,13.4-18.5,0.725
5,Omaha,31,84.4,29.6-62.7,0.473,6.0-18.2,0.332,19.1-25.7,0.743
6,Green Bay,35,84.2,29.3-65.5,0.448,7.0-20.1,0.35,18.5-28.1,0.659
7,Detroit Mercy,31,83.7,29.0-62.3,0.465,7.9-21.0,0.375,17.9-25.6,0.698
8,BYU,33,83.6,29.7-64.2,0.462,8.9-23.5,0.38,15.3-22.3,0.688
9,Washington,32,83.4,28.2-66.4,0.425,7.5-22.5,0.333,19.5-27.0,0.723
10,Belmont,31,82.4,28.6-57.8,0.495,10.5-28.8,0.362,14.6-20.3,0.722
11,Indiana,32,82.3,29.2-58.3,0.501,9.9-23.8,0.415,14.0-19.4,0.723
11,North Carolina,34,82.3,30.8-64.3,0.479,5.4-17.1,0.314,15.3-20.7,0.738
13,Winthrop,32,82.2,27.8-58.4,0.476,8.9-24.0,0.371,17.7-23.6,0.749
14,Eastern Washington,32,81.9,28.5-58.2,0.489,10.3-26.9,0.382,14.7-21.5,0.682
15,Iowa State,32,81.8,31.2-62.2,0.502,8.3-21.8,0.38,11.2-15.8,0.706
16,Kansas,34,81.6,28.7-58.1,0.494,8.3-19.5,0.426,15.8-22.4,0.706
17,Duke,33,81.5,27.4-59.8,0.459,9.3-24.0,0.387,17.3-24.0,0.722
18,Xavier,32,81.3,27.4-60.6,0.452,7.6-21.0,0.362,19.0-26.0,0.731
19,Arizona,33,81.2,28.1-58.2,0.482,6.5-17.0,0.383,18.6-25.7,0.723
20,USC,33,80.8,28.9-63.2,0.458,7.9-20.5,0.385,15.2-22.3,0.678
21,Stephen F. Austin,32,80.7,28.9-59.8,0.484,7.9-21.6,0.368,14.9-20.4,0.73
22,Butler,31,80.6,28.0-60.1,0.466,7.1-18.4,0.387,17.5-23.9,0.731
23,Eastern Kentucky,31,80.5,27.9-56.8,0.491,8.3-21.1,0.395,16.5-22.6,0.73
24,Oklahoma,32,80.4,27.6-60.3,0.459,10.4-24.5,0.426,14.7-20.2,0.728
25,Stetson,34,80.3,28.3-62.5,0.452,8.3-22.8,0.364,15.4-21.3,0.721
26,Michigan State,33,80.2,28.9-59.5,0.486,9.2-21.0,0.435,13.2-18.2,0.728
26,Fort Wayne,33,80.2,27.7-59.3,0.467,10.5-25.4,0.414,14.3-20.0,0.717
