RK,TEAM,GP,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
26,Quinnipiac,31,79.1,26.2-61.6,0.425,5.4-15.3,0.353,21.4-30.0,0.715
26,Duke,33,79.1,26.8-57.4,0.466,8.9-22.7,0.391,16.7-23.0,0.727
28,Eastern Kentucky,33,79,26.0-53.1,0.49,9.2-23.5,0.39,17.8-23.7,0.751
29,Davidson,32,78.6,27.1-56.6,0.48,8.3-21.8,0.379,16.1-22.6,0.712
30,Villanova,32,78.5,25.8-56.1,0.459,9.0-25.0,0.361,18.0-25.3,0.713
31,Radford,33,78,27.7-58.1,0.478,6.1-17.2,0.354,16.5-23.6,0.696
32,Georgia State,32,77.9,26.5-56.2,0.472,7.5-19.8,0.379,17.4-22.6,0.77
33,UNC Asheville,32,77.7,26.1-57.3,0.456,7.0-18.8,0.371,18.5-24.8,0.745
34,Canisius,33,77.6,26.5-58.1,0.457,7.9-20.5,0.383,16.6-22.5,0.741
34,Memphis,32,77.6,28.3-59.2,0.479,5.4-16.2,0.335,15.5-23.9,0.649
36,West Virginia,32,77.5,26.4-60.1,0.439,7.9-20.5,0.384,16.9-23.3,0.724
36,Murray State,29,77.5,26.1-55.1,0.475,7.3-19.4,0.377,17.9-27.2,0.659
38,Manhattan,32,77.4,25.2-55.8,0.451,6.4-17.5,0.367,20.7-31.2,0.662
39,New Mexico State,35,77.2,26.0-52.9,0.491,5.4-14.5,0.373,19.8-28.8,0.688
40,Gonzaga,34,76.9,27.2-54.7,0.498,7.1-17.9,0.394,15.4-21.7,0.71
41,Gonzaga,2,73,23.5-52.0,0.452,7.5-17.0,0.441,18.5-27.0,0.685
42,Minnesota,5,72.8,22.8-49.6,0.46,8.0-22.0,0.364,19.2-25.4,0.756
43,Old Dominion,3,72.7,26.3-59.3,0.444,6.7-20.3,0.328,13.3-18.7,0.714
44,California,3,72.3,28.0-53.0,0.528,6.3-16.3,0.388,10.0-12.7,0.789
45,Michigan State,4,72,24.3-51.5,0.471,8.3-20.8,0.398,15.3-18.3,0.836
46,Connecticut,6,71.7,23.7-52.2,0.454,7.5-19.3,0.388,16.8-19.2,0.878
47,Sam Houston State,2,71.5,24.0-53.5,0.449,8.0-19.0,0.421,15.5-21.0,0.738
48,Arizona,4,71.3,26.0-54.8,0.475,6.0-14.0,0.429,13.3-19.0,0.697
49,Texas A&M-CC,2,71,26.5-51.0,0.52,7.0-17.0,0.412,11.0-19.0,0.579
49,Duke,1,71,22.0-62.0,0.355,15.0-37.0,0.405,12.0-13.0,0.923
49,Indiana State,1,71,24.0-68.0,0.353,6.0-19.0,0.316,17.0-21.0,0.81
49,Northern Colorado,1,71,25.0-50.0,0.5,7.0-16.0,0.438,14.0-24.0,0.583
53,Mercer,2,70.5,24.5-49.0,0.5,6.5-17.5,0.371,15.0-18.5,0.811
54,Baylor,3,70.3,21.7-48.7,0.445,5.0-15.3,0.326,22.0-29.0,0.759
54,Michigan,4,70.3,25.0-51.5,0.485,9.8-20.8,0.47,10.5-13.5,0.778
56,Ohio,3,70,25.0-52.7,0.475,7.0-18.3,0.382,13.0-17.3,0.75
56,Southern Miss,3,70,24.0-54.3,0.442,8.3-22.3,0.373,13.7-24.3,0.562
56,Wichita State,2,70,25.0-49.5,0.505,8.0-20.0,0.4,12.0-19.5,0.615
59,Fresno State,6,69.7,22.2-48.8,0.454,6.3-16.7,0.38,19.0-25.0,0.76
60,Virginia,3,69,23.7-50.3,0.47,6.3-15.3,0.413,15.3-19.3,0.793
60,LSU,2,69,25.0-55.5,0.45,8.0-22.5,0.356,11.0-16.5,0.667
60,Villanova,2,69,23.0-56.5,0.407,7.5-27.0,0.278,15.5-20.0,0.775
60,New Mexico State,1,69,26.0-65.0,0.4,5.0-16.0,0.313,12.0-20.0,0.6
60,Eastern Kentucky,1,69,22.0-57.0,0.386,12.0-31.0,0.387,13.0-16.0,0.813
60,Texas Southern,1,69,24.0-50.0,0.48,4.0-13.0,0.308,17.0-22.0,0.773
66,Yale,5,68.8,24.8-58.6,0.423,7.2-17.8,0.404,12.0-18.0,0.667
67,Louisville,3,68.7,22.7-52.3,0.433,4.7-15.0,0.311,18.7-27.3,0.683
68,SMU,5,68.6,24.4-52.8,0.462,5.6-13.4,0.418,14.2-21.0,0.676
69,Kentucky,6,68.5,24.7-52.8,0.467,5.0-13.2,0.38,14.2-21.0,0.675
69,Kansas,2,68.5,25.5-55.5,0.459,2.5-11.5,0.217,15.0-21.0,0.714
69,Stephen F. Austin,2,68.5,23.5-54.0,0.435,6.5-21.5,0.302,15.0-19.5,0.769
72,BYU,1,68,20.0-61.0,0.328,5.0-19.0,0.263,23.0-30.0,0.767
72,Quinnipiac,1,68,24.0-59.0,0.407,6.0-12.0,0.5,14.0-18.0,0.778
74,Georgia,2,67,22.0-46.5,0.473,4.0-12.0,0.333,19.0-24.5,0.776
74,Holy Cross,2,67,24.5-57.5,0.426,8.0-20.5,0.39,10.0-11.5,0.87
74,Harvard,2,67,20.5-48.5,0.423,6.0-17.0,0.353,20.0-29.0,0.69
74,Saint Louis,2,67,26.0-58.5,0.444,4.5-16.5,0.273,10.5-21.0,0.5
74,Massachusetts,1,67,28.0-66.0,0.424,3.0-11.0,0.273,8.0-11.0,0.727
74,Grand Canyon,1,67,21.0-44.0,0.477,11.0-22.0,0.5,14.0-21.0,0.667
74,Morehead State,1,67,23.0-60.0,0.383,8.0-21.0,0.381,13.0-21.0,0.619
81,UT Martin,31,74.3,25.5-60.3,0.424,7.0-20.5,0.343,16.2-22.3,0.725
81,North Dakota,33,74.3,26.1-57.0,0.457,5.8-18.0,0.325,16.3-23.8,0.686
83,Western Carolina,34,74.2,25.5-60.1,0.425,7.3-20.8,0.351,15.9-22.2,0.716
84,Texas,33,74.1,25.8-59.8,0.431,5.1-15.8,0.324,17.4-26.2,0.664
85,Winthrop,33,74,24.9-55.8,0.445,8.2-20.8,0.397,16.0-22.5,0.713
85,Northern Colorado,31,74,27.1-54.9,0.493,5.9-15.4,0.384,13.9-20.2,0.689
87,Rider,31,73.9,24.0-55.0,0.436,7.6-19.3,0.397,18.4-25.1,0.731
87,Temple,31,73.9,26.7-62.4,0.428,6.5-19.2,0.338,14.0-19.8,0.707
87,North Carolina Central,33,73.9,24.8-53.5,0.462,5.4-16.0,0.338,18.9-26.1,0.727
90,South Carolina Upstate,33,73.7,26.2-58.0,0.452,6.3-19.8,0.317,14.9-22.2,0.674
91,Harvard,30,73.6,24.9-53.2,0.467,5.7-14.8,0.387,18.2-25.0,0.726
92,Wisconsin,33,73.5,24.2-52.9,0.458,7.8-20.8,0.373,17.4-23.3,0.744
92,Buffalo,29,73.5,25.1-56.2,0.447,6.4-19.2,0.335,16.8-23.6,0.712
92,Stanford,33,73.5,25.3-54.4,0.464,5.9-15.9,0.371,17.1-24.3,0.703
92,Gardner-Webb,33,73.5,25.7-57.4,0.447,5.3-15.6,0.339,16.8-24.5,0.686
92,Bryant,32,73.5,26.2-55.8,0.47,6.3-18.8,0.334,14.7-20.9,0.703
97,George Washington,32,73.4,25.4-54.9,0.464,5.8-15.7,0.369,16.8-25.6,0.654
97,Dayton,33,73.4,25.7-55.1,0.466,6.6-17.4,0.378,15.5-22.7,0.681
97,Cleveland State,32,73.4,25.4-53.9,0.471,7.3-18.0,0.409,15.2-20.3,0.75
97,St. Bonaventure,33,73.4,25.9-57.0,0.455,4.7-14.4,0.326,16.8-23.5,0.716
101,Colorado State,32,73.3,24.1-56.2,0.428,5.3-16.3,0.326,19.9-27.4,0.726
101,Duquesne,30,73.3,25.0-56.6,0.442,7.3-20.0,0.363,16.0-23.9,0.669
101,Fresno State,33,73.3,24.8-56.9,0.435,7.7-21.7,0.354,16.1-22.2,0.725
101,Loyola Marymount,32,73.3,26.2-59.9,0.437,4.4-15.0,0.294,16.5-21.7,0.762
101,East Carolina,33,73.3,23.9-54.0,0.443,8.6-23.1,0.374,16.8-23.6,0.712
106,Hampton,30,73.2,24.3-57.8,0.42,5.5-17.3,0.317,19.2-29.3,0.655
106,Providence,34,73.2,24.1-56.8,0.425,6.3-18.0,0.35,18.6-23.8,0.781
106,Weber State,30,73.2,23.9-49.6,0.481,7.2-18.3,0.392,18.3-24.8,0.737
106,Towson,33,73.2,23.8-52.6,0.453,5.9-16.6,0.356,19.6-28.3,0.693
110,William & Mary,32,73.1,24.9-52.4,0.476,8.8-22.0,0.399,14.5-20.8,0.694
110,UAB,31,73.1,25.8-61.9,0.417,5.1-16.9,0.301,16.4-24.9,0.658
110,Tulsa,33,73.1,24.7-55.8,0.442,5.8-17.7,0.325,18.0-26.7,0.675
110,Arizona,34,73.1,26.2-56.0,0.468,5.3-14.9,0.356,15.3-23.4,0.655
114,SIU-Edwardsville,31,73,26.0-55.3,0.47,7.2-19.0,0.378,13.8-20.8,0.665
115,Missouri,33,72.9,23.6-51.9,0.454,5.8-17.1,0.342,19.9-26.8,0.742
116,Northern Iowa,31,72.8,24.6-54.6,0.45,8.5-23.6,0.361,15.1-20.8,0.724
117,Portland State,31,72.7,25.2-54.0,0.467,6.1-16.9,0.362,16.2-22.2,0.73
117,NJIT,29,72.7,25.1-56.5,0.444,7.4-19.9,0.374,15.0-20.8,0.721
117,Coastal Carolina,33,72.7,25.5-58.2,0.438,6.2-18.5,0.333,15.6-22.5,0.694
117,UCF,31,72.7,25.9-59.1,0.439,6.9-20.7,0.335,13.9-22.7,0.614
121,St. John's,32,72.7,26.2-58.4,0.448,4.6-13.5,0.342,15.7-22.4,0.699
122,South Dakota State,31,72.6,24.0-53.6,0.449,6.5-18.8,0.342,18.1-23.8,0.758
123,Pacific,30,72.5,24.3-55.4,0.438,6.4-17.7,0.362,17.6-22.8,0.771
123,Western Michigan,32,72.5,23.8-51.1,0.466,6.0-18.0,0.332,18.9-26.1,0.724
123,Pittsburgh,34,72.5,24.9-53.9,0.461,5.1-14.4,0.356,17.6-24.8,0.711
123,Central Michigan,31,72.5,24.7-57.0,0.434,8.0-25.1,0.32,15.0-21.1,0.71
127,North Florida,32,72.4,24.7-55.8,0.442,7.1-19.8,0.359,16.0-22.8,0.705
127,Army,31,72.4,25.8-58.2,0.444,7.6-22.5,0.339,13.1-18.7,0.7
127,Idaho,34,72.4,24.5-54.9,0.447,6.4-17.9,0.355,17.0-24.8,0.688
127,California,32,72.4,26.2-58.0,0.451,5.6-16.5,0.342,14.4-21.2,0.68
127,Nevada,32,72.4,24.9-57.3,0.434,6.7-19.8,0.338,15.9-21.9,0.729
132,Grand Canyon,29,72.3,22.4-51.9,0.432,6.7-19.5,0.345,20.7-27.9,0.742
132,Marshall,33,72.3,25.4-58.7,0.432,6.1-19.8,0.308,15.4-24.8,0.622
132,Indiana,32,72.3,24.4-54.4,0.448,5.5-16.0,0.344,18.0-24.7,0.73
132,Purdue,32,72.3,25.7-60.2,0.427,5.5-16.8,0.327,15.4-22.9,0.671
136,Valparaiso,33,72.2,24.0-51.0,0.47,6.9-18.5,0.374,17.3-23.5,0.735
136,Xavier,33,72.2,25.6-54.4,0.471,5.2-14.7,0.354,15.7-22.8,0.688
136,Marquette,32,72.2,25.0-56.3,0.444,4.8-15.0,0.321,17.4-25.2,0.69
139,Maine,29,72.1,26.2-59.0,0.443,6.3-18.7,0.335,13.5-19.9,0.678
139,Florida Gulf Coast,34,72.1,26.3-56.0,0.469,5.7-17.3,0.329,13.9-20.6,0.674
141,Saint Mary's,33,72,23.6-52.2,0.452,7.1-18.5,0.383,17.7-25.0,0.708
141,Notre Dame,32,72,26.2-57.6,0.455,7.1-19.9,0.358,12.4-17.3,0.718
143,Norfolk State,33,71.9,25.6-55.0,0.466,5.5-15.6,0.35,15.2-21.8,0.696
143,Connecticut,34,71.9,24.4-54.4,0.448,7.1-18.4,0.387,16.0-21.0,0.761
145,Stony Brook,33,71.8,25.5-55.9,0.455,5.4-15.2,0.358,15.5-21.5,0.72
145,Seton Hall,34,71.8,24.0-52.9,0.454,7.4-20.7,0.358,16.4-22.7,0.722
147,Fordham,31,71.7,24.6-62.6,0.393,7.1-23.2,0.306,15.4-20.9,0.733
147,LIU Brooklyn,29,71.7,24.4-57.0,0.428,7.5-21.8,0.345,15.4-21.6,0.717
147,Ohio,34,71.7,25.4-55.4,0.458,7.4-21.2,0.35,13.5-19.0,0.711
147,Mississippi Valley State,32,71.7,25.3-60.4,0.418,6.3-20.2,0.314,14.8-22.1,0.67
151,Princeton,28,71.6,23.7-52.9,0.448,9.4-25.9,0.364,14.9-20.6,0.72
151,Southern Miss,32,71.6,23.9-51.8,0.461,5.3-15.3,0.348,18.5-26.6,0.695
151,Robert Morris,34,71.6,24.6-56.2,0.438,7.2-18.9,0.383,15.1-20.8,0.727
154,Wagner,31,71.5,25.0-59.6,0.42,5.5-16.3,0.335,16.0-21.9,0.73
154,Penn State,32,71.5,24.6-56.8,0.433,6.2-19.5,0.318,16.2-21.6,0.747
154,Little Rock,32,71.5,24.5-57.6,0.425,5.1-15.8,0.325,17.4-23.6,0.737
154,Boston University,34,71.5,25.6-56.6,0.453,8.0-22.1,0.361,12.3-17.1,0.719
154,Saint Joseph's,32,71.5,24.7-52.7,0.468,7.4-19.4,0.381,14.8-22.9,0.644
154,Auburn,30,71.5,24.1-55.2,0.437,5.7-18.4,0.311,17.5-24.3,0.721
154,New Orleans,26,71.5,23.7-55.2,0.429,5.2-15.5,0.338,18.9-27.8,0.681
161,Morgan State,31,71.5,25.8-60.3,0.428,4.5-17.3,0.261,15.3-25.0,0.612
161,Charlotte,31,71.5,25.4-57.1,0.445,6.0-16.9,0.356,14.6-22.5,0.648
163,Brown,28,71.4,25.3-58.3,0.433,6.8-17.8,0.382,14.1-21.1,0.671
163,Oral Roberts,33,71.4,25.2-54.7,0.46,4.8-13.5,0.351,16.3-22.6,0.72
163,Abilene Christian,31,71.4,23.8-53.6,0.443,7.8-19.3,0.402,16.1-21.5,0.749
163,SMU,32,71.4,25.5-52.3,0.487,4.6-12.3,0.372,15.9-23.2,0.684
163,UNLV,33,71.4,25.3-57.7,0.438,5.9-17.9,0.329,14.9-22.8,0.654
168,Tennessee,33,71.3,24.7-55.3,0.447,5.7-17.1,0.336,16.2-22.8,0.71
168,Seattle,30,71.3,25.3-59.9,0.423,7.4-21.9,0.338,13.2-20.3,0.652
168,Florida A&M,32,71.3,25.3-62.8,0.402,6.7-19.9,0.334,14.1-21.5,0.654
171,Minnesota,33,71.2,24.4-54.7,0.445,7.0-20.1,0.35,15.5-20.9,0.74
171,UC Santa Barbara,30,71.2,24.4-52.5,0.464,7.0-18.2,0.385,15.5-21.9,0.708
171,Vermont,32,71.2,23.8-50.8,0.469,5.9-14.8,0.399,17.6-24.1,0.731
171,Southern,32,71.2,25.7-56.9,0.452,5.9-17.3,0.339,13.9-22.4,0.618
171,Pepperdine,31,71.2,24.9-54.9,0.454,6.4-17.8,0.358,14.9-21.3,0.7
176,Rutgers,33,71.1,24.9-58.5,0.426,6.0-18.0,0.336,15.2-21.5,0.706
176,Lafayette,30,71.1,25.1-53.7,0.468,7.3-18.5,0.397,13.5-17.9,0.756
176,Detroit Mercy,32,71.1,24.3-58.2,0.418,6.0-18.6,0.321,16.5-22.6,0.729
176,Houston,33,71.1,25.2-55.5,0.454,6.4-17.5,0.367,14.2-21.2,0.667
176,Indiana State,33,71.1,23.9-52.8,0.454,6.5-18.5,0.349,16.7-23.2,0.721
181,Florida,33,71,24.4-52.8,0.463,6.8-18.6,0.366,15.4-23.1,0.666
181,UC Irvine,34,71,26.2-55.3,0.473,5.6-15.8,0.356,13.0-20.4,0.639
183,Milwaukee,34,70.9,23.2-53.7,0.433,7.0-21.5,0.327,17.4-23.8,0.734
183,Maryland,32,70.9,24.8-57.6,0.43,7.1-20.6,0.342,14.4-21.2,0.679
183,Santa Clara,33,70.9,23.9-56.2,0.425,7.5-20.5,0.366,15.6-21.3,0.733
183,Middle Tennessee,33,70.9,24.7-54.4,0.455,5.4-15.8,0.342,16.0-24.1,0.665
183,Colorado,34,70.9,23.5-53.8,0.437,5.2-16.3,0.32,18.6-26.0,0.716
188,UNC Greensboro,32,70.8,25.3-57.3,0.44,5.2-15.3,0.342,15.1-22.0,0.688
188,Idaho State,29,70.8,23.9-53.3,0.449,5.7-15.6,0.366,17.2-24.2,0.713
188,NC State,34,70.8,26.3-57.3,0.459,4.5-14.8,0.303,13.8-20.9,0.661
188,Montana,30,70.8,23.4-49.2,0.477,7.4-19.8,0.374,16.5-22.4,0.738
188,Alabama State,30,70.8,24.7-58.7,0.421,5.5-18.9,0.29,15.8-23.3,0.679
188,Georgia Southern,34,70.8,24.7-56.7,0.436,7.1-21.1,0.338,14.2-21.5,0.662
188,Tennessee Tech,32,70.8,24.4-54.0,0.453,5.5-16.9,0.325,16.4-24.3,0.675
195,High Point,30,70.7,25.9-54.8,0.473,5.8-15.3,0.381,13.1-17.8,0.735
196,San Diego State,33,70.6,24.5-56.1,0.437,5.1-14.3,0.358,16.4-25.1,0.653
196,Central Connecticut,30,70.6,26.0-59.8,0.435,5.6-16.8,0.335,12.9-17.9,0.717
196,USC,32,70.6,25.0-57.0,0.439,4.6-15.7,0.291,15.9-23.8,0.67
199,Samford,33,70.5,25.7-54.3,0.474,4.9-14.8,0.33,14.2-21.0,0.676
200,Florida State,32,70.4,24.3-52.3,0.465,5.2-14.0,0.369,16.6-23.0,0.723
201,Liberty,32,70.3,25.5-55.7,0.458,5.6-15.7,0.359,13.7-19.4,0.704
202,Georgetown,31,70.2,24.2-52.6,0.46,5.3-16.2,0.327,16.6-23.2,0.716
203,UC Davis,31,70.1,24.0-54.9,0.438,7.9-22.2,0.357,14.2-20.4,0.696
204,Saint Louis,32,70,24.3-54.8,0.443,5.7-17.8,0.319,15.8-22.3,0.708
205,Siena,32,69.9,24.2-57.4,0.421,4.3-13.4,0.324,17.3-24.0,0.719
205,Long Beach State,32,69.9,25.7-59.5,0.432,6.0-19.2,0.312,12.5-19.0,0.661
207,Longwood,32,69.8,25.4-57.7,0.44,5.6-16.0,0.351,13.5-18.5,0.729
207,Ohio State,34,69.8,24.1-53.7,0.449,5.8-17.8,0.326,15.8-23.0,0.689
207,Chicago State,32,69.8,24.6-58.9,0.418,6.9-20.4,0.337,13.7-20.3,0.675
210,Sacred Heart,31,69.7,24.5-59.2,0.413,6.4-19.5,0.327,14.5-21.1,0.685
210,Coppin State,32,69.7,22.6-57.5,0.392,7.3-22.7,0.324,17.3-23.6,0.73
210,Kansas State,32,69.7,24.3-55.8,0.436,6.0-18.0,0.334,15.0-22.8,0.658
210,Wake Forest,33,69.7,23.8-52.7,0.451,5.0-15.3,0.329,17.2-26.4,0.65
214,North Texas,32,69.6,24.2-57.7,0.42,4.9-14.9,0.33,16.3-24.0,0.68
214,Kent State,32,69.6,23.9-55.8,0.429,7.3-20.9,0.347,14.5-20.6,0.703
214,Colgate,31,69.6,25.3-52.3,0.484,8.4-21.2,0.396,10.6-14.8,0.715
214,Fairleigh Dickinson,31,69.6,23.9-57.0,0.42,7.3-20.5,0.355,14.4-20.0,0.72
218,UMKC,30,69.5,24.3-56.6,0.43,5.6-18.4,0.303,15.3-24.2,0.634
218,SE Louisiana,30,69.5,23.8-53.7,0.443,6.8-18.7,0.364,15.1-21.7,0.697
218,George Mason,31,69.5,24.4-55.5,0.44,4.9-14.0,0.352,15.8-22.3,0.709
218,Prairie View A&M,34,69.5,23.9-57.3,0.417,6.6-19.1,0.343,15.1-23.3,0.649
218,South Dakota,30,69.5,23.8-53.8,0.442,6.4-18.0,0.354,15.6-20.7,0.751
223,UTEP,33,69.4,23.6-50.4,0.468,4.5-13.5,0.332,17.7-26.0,0.683
223,DePaul,33,69.4,23.7-56.0,0.423,5.9-17.6,0.336,16.1-23.5,0.684
223,Evansville,33,69.4,23.5-50.7,0.464,4.4-12.1,0.362,18.1-25.2,0.718
226,Utah State,32,69.2,24.4-54.1,0.452,6.9-16.9,0.406,13.5-18.3,0.734
226,CSU Bakersfield,32,69.2,24.0-54.8,0.438,6.9-17.8,0.389,14.4-20.9,0.688
228,Georgia,32,69,22.6-51.5,0.439,5.0-14.2,0.35,18.9-27.9,0.677
228,Monmouth,32,69,24.3-57.7,0.42,5.5-16.5,0.336,15.0-23.4,0.64
228,Sacramento State,30,69,24.5-53.3,0.46,6.1-16.4,0.373,13.9-19.2,0.725
228,St. Francis (BKN),32,69,24.4-56.7,0.431,6.1-19.3,0.315,14.1-20.6,0.683
232,Illinois State,31,68.9,22.7-55.5,0.41,7.4-23.3,0.319,16.0-22.5,0.708
232,UT San Antonio,30,68.9,21.8-51.5,0.423,6.0-18.2,0.331,19.2-27.9,0.69
234,South Alabama,31,68.8,23.1-57.3,0.403,7.8-23.4,0.333,14.9-21.9,0.682
234,Drexel,30,68.8,23.9-56.9,0.421,5.1-16.4,0.314,15.8-22.3,0.709
236,Texas A&M-CC,31,68.7,24.5-51.7,0.473,4.2-11.5,0.364,15.6-23.4,0.665
236,Cincinnati,33,68.7,23.8-55.6,0.427,5.8-17.4,0.335,15.4-21.7,0.709
236,Missouri State,32,68.7,23.0-53.3,0.432,7.0-19.4,0.359,15.7-22.2,0.707
236,Tennessee State,30,68.7,23.6-54.9,0.429,4.9-16.7,0.293,16.7-23.8,0.7
236,Boston College,32,68.7,22.4-50.2,0.446,7.7-21.9,0.352,16.2-21.8,0.741
241,Florida Intl,31,68.6,24.3-54.2,0.449,4.9-15.5,0.316,15.1-22.5,0.67
241,Western Kentucky,32,68.6,22.9-55.2,0.414,7.3-21.8,0.337,15.5-23.6,0.656
243,Butler,31,68.5,24.4-56.7,0.429,5.9-18.3,0.323,13.9-21.1,0.661
243,Hofstra,33,68.5,22.7-54.2,0.419,6.9-20.8,0.334,16.1-24.4,0.659
243,Nicholls,29,68.5,24.4-55.0,0.444,6.1-20.1,0.306,13.5-21.3,0.633
244,Texas Tech,32,68.4,24.5-53.7,0.456,4.4-14.1,0.311,15.1-20.8,0.728
244,Marist,31,68.4,22.9-56.0,0.408,6.5-18.7,0.347,16.1-22.6,0.714
246,South Carolina,34,68.3,22.5-54.5,0.413,5.7-15.2,0.378,17.6-24.9,0.706
246,UC Riverside,31,68.3,23.9-55.2,0.433,4.5-14.7,0.302,16.1-22.9,0.702
246,Columbia,31,68.3,21.9-49.1,0.445,7.9-20.9,0.379,16.6-21.6,0.77
246,Drake,31,68.3,23.2-51.4,0.452,7.7-19.5,0.396,14.1-19.7,0.714
246,Pennsylvania,28,68.3,24.4-54.2,0.451,5.0-15.6,0.321,14.4-21.3,0.677
253,Syracuse,32,68.2,24.1-55.1,0.437,5.0-14.9,0.335,15.0-21.4,0.703
254,Northern Kentucky,30,68.1,23.5-53.9,0.435,7.6-21.8,0.349,13.6-19.3,0.706
254,McNeese,31,68.1,23.5-59.9,0.393,6.5-21.5,0.305,14.5-20.9,0.696
256,Dartmouth,28,68,24.0-54.1,0.444,6.2-16.4,0.38,13.8-20.0,0.686
256,Montana State,31,68,23.7-53.6,0.443,6.0-16.8,0.354,14.6-20.5,0.711
258,Akron,33,67.9,23.5-54.5,0.432,7.1-20.4,0.348,13.7-22.2,0.618
259,Alabama,32,67.8,23.2-52.2,0.444,5.7-17.1,0.334,15.8-23.0,0.685
259,Appalachian State,30,67.8,24.0-57.7,0.416,5.0-16.7,0.302,14.8-23.2,0.638
259,Rhode Island,32,67.8,23.6-53.2,0.443,4.8-14.8,0.321,15.9-24.3,0.653
262,La Salle,31,67.7,23.2-56.2,0.413,5.7-17.5,0.325,15.6-22.0,0.708
262,Mississippi State,33,67.7,23.8-53.8,0.442,4.7-15.2,0.307,15.5-23.3,0.663
262,Eastern Illinois,30,67.7,23.4-53.3,0.44,5.1-15.9,0.319,15.7-22.0,0.715
262,Wofford,32,67.7,24.7-54.7,0.451,6.1-16.4,0.371,12.2-18.4,0.663
266,Utah Valley,31,67.6,22.8-52.1,0.437,6.5-18.8,0.347,15.6-20.5,0.758
266,Campbell,32,67.6,24.1-54.6,0.441,8.7-24.8,0.35,10.8-15.9,0.677
268,CS Fullerton,31,67.5,23.7-55.7,0.425,6.2-18.6,0.331,14.0-21.2,0.658
268,Houston Baptist,31,67.5,23.8-55.9,0.425,5.1-14.7,0.344,14.8-21.7,0.682
270,Wright State,34,67.4,22.7-49.7,0.456,6.1-16.9,0.358,16.0-21.6,0.74
271,Troy,30,67.3,22.1-53.9,0.411,7.0-20.8,0.338,16.0-24.2,0.662
272,The Citadel,33,67,23.2-53.9,0.43,6.4-17.6,0.361,14.3-19.8,0.722
272,Northern Arizona,32,67,24.3-53.6,0.454,5.3-15.2,0.351,13.1-18.3,0.713
272,Nebraska,31,67,22.5-52.6,0.427,5.9-17.5,0.339,16.2-22.5,0.719
272,Holy Cross,32,67,22.6-52.5,0.43,6.3-17.9,0.35,15.6-21.4,0.727
276,Southern Illinois,33,66.9,23.7-52.0,0.455,4.5-13.6,0.33,15.1-22.5,0.672
277,San Diego,32,66.8,23.1-51.8,0.445,6.4-17.1,0.375,14.3-20.7,0.691
277,UIC,31,66.8,23.0-54.7,0.421,5.5-16.9,0.328,15.2-21.3,0.714
279,Lamar,30,66.7,23.7-54.3,0.437,3.2-10.5,0.308,16.1-21.6,0.744
