RK,TEAM,GP,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
1,VMI,31,87.7,31.0-70.5,0.44,9.1-28.2,0.322,16.5-23.5,0.704
2,Northwestern State,31,86.6,30.9-65.7,0.47,5.7-17.0,0.334,19.2-25.9,0.741
3,BYU,34,84.2,29.2-62.5,0.467,5.1-14.1,0.359,20.8-30.1,0.69
4,Iona,32,83.5,28.6-58.8,0.487,10.3-26.1,0.396,16.0-22.5,0.711
5,Southeast Missouri State,32,82.9,30.0-60.1,0.499,6.8-19.0,0.359,16.1-23.2,0.692
5,Iowa State,33,82.9,29.3-62.1,0.471,8.3-23.7,0.351,16.0-23.1,0.694
7,Oklahoma,32,82.2,27.6-61.3,0.451,8.5-22.6,0.378,18.4-24.5,0.75
8,Louisville,34,82.1,28.9-61.0,0.474,8.1-21.7,0.371,16.2-24.6,0.659
8,Incarnate Word,27,82.1,28.6-58.6,0.488,7.5-19.3,0.389,17.4-25.5,0.684
10,Iowa,32,82,28.0-60.2,0.465,5.8-16.6,0.353,20.2-27.6,0.733
11,Oregon,32,81.8,27.4-58.6,0.468,7.8-19.8,0.392,19.3-25.1,0.766
11,UCLA,34,81.8,29.1-59.3,0.49,6.4-16.3,0.391,17.3-23.1,0.749
13,UL Lafayette,33,81.4,28.2-60.2,0.469,7.0-19.0,0.368,18.0-26.7,0.673
13,Charleston Southern,31,81.4,27.7-60.5,0.458,9.7-25.5,0.383,16.2-22.2,0.73
15,Louisiana Tech,34,81,27.9-61.1,0.456,7.7-23.4,0.33,17.6-26.1,0.675
16,Oklahoma State,33,80.3,26.4-56.8,0.465,7.2-19.4,0.368,20.3-28.1,0.724
16,Arkansas,32,80.3,27.2-61.3,0.444,7.5-20.5,0.367,18.3-25.2,0.725
18,Belmont,33,80.2,27.4-54.3,0.505,8.9-22.4,0.397,16.5-22.5,0.732
18,Omaha,30,80.2,27.6-61.4,0.45,7.0-20.2,0.346,18.0-23.4,0.768
20,Hawai'i,31,80,27.9-59.0,0.473,5.7-17.0,0.335,18.4-25.5,0.722
21,Toledo,33,79.8,27.5-58.8,0.467,5.7-16.3,0.351,19.2-26.5,0.726
22,Kansas,33,79.6,27.4-55.3,0.495,5.6-16.2,0.345,19.2-27.1,0.711
23,Creighton,33,79.5,27.5-55.1,0.499,10.4-24.6,0.421,14.2-18.9,0.752
23,Delaware,34,79.5,26.9-60.4,0.446,7.2-20.8,0.345,18.5-26.1,0.709
25,Mercer,34,79.3,27.4-57.7,0.475,8.1-21.2,0.384,16.2-22.2,0.732
