RK,TEAM,GP,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
70,Coastal Carolina,33,71.7,24.5-55.8,0.439,6.7-18.8,0.356,16.0-23.3,0.688
71,UT Arlington,31,71.6,25.1-57.2,0.439,6.6-20.9,0.316,14.7-21.9,0.673
71,Coppin State,31,71.6,24.5-61.5,0.398,9.5-26.6,0.357,13.2-19.0,0.692
73,Lamar,30,71.5,25.0-55.3,0.452,5.6-17.7,0.318,15.9-23.4,0.68
73,Youngstown State,32,71.5,25.2-57.1,0.442,6.5-18.4,0.354,14.5-20.9,0.694
75,Western Kentucky,32,71.4,24.8-57.0,0.435,7.8-21.4,0.362,14.1-21.6,0.654
75,Duquesne,31,71.4,25.9-57.7,0.449,7.9-21.4,0.37,11.7-18.6,0.627
77,Montana,32,71.3,25.2-54.0,0.466,8.2-21.9,0.372,12.9-17.9,0.718
78,St. John's,32,71.2,25.3-57.2,0.441,6.1-17.3,0.353,14.6-21.1,0.692
78,NJIT,29,71.2,24.4-53.1,0.459,8.4-22.1,0.382,14.0-20.1,0.695
78,Kansas,34,71.2,24.2-55.0,0.44,5.8-15.5,0.375,17.0-23.6,0.72
81,Morehead State,34,71.2,25.1-56.8,0.442,6.5-18.8,0.344,14.4-20.1,0.716
82,New Orleans,29,71.1,24.3-55.3,0.439,4.2-12.6,0.336,18.3-26.6,0.69
83,Western Michigan,33,71,24.3-52.9,0.459,7.0-18.9,0.368,15.5-22.1,0.701
84,UC Davis,31,70.9,24.3-49.2,0.494,8.5-19.0,0.45,13.8-18.9,0.73
85,Sacramento State,31,70.8,25.4-52.3,0.486,6.3-15.4,0.408,13.7-18.6,0.735
85,Boise State,33,70.8,24.5-53.6,0.458,8.8-22.4,0.394,12.9-17.6,0.733
87,Delaware State,35,70.7,24.8-58.8,0.421,7.9-22.3,0.354,13.3-18.7,0.713
87,Detroit Mercy,33,70.7,25.5-57.2,0.445,7.0-18.2,0.384,12.8-18.8,0.683
87,Georgetown,31,70.7,24.2-53.2,0.455,5.8-16.8,0.347,16.5-23.5,0.702
87,UT San Antonio,30,70.7,23.9-56.7,0.422,6.4-19.6,0.325,16.5-23.6,0.699
91,Washington State,31,70.6,24.0-55.2,0.434,6.9-20.2,0.342,15.8-21.9,0.72
91,Tennessee Tech,30,70.6,25.6-58.0,0.441,5.6-17.5,0.321,13.8-20.3,0.678
91,Elon,33,70.6,24.5-57.8,0.423,7.3-20.7,0.351,14.4-21.1,0.683
91,Northern Kentucky,30,70.6,26.0-56.4,0.46,7.5-21.6,0.349,11.1-16.9,0.657
95,NC State,33,70.4,24.8-56.8,0.437,6.6-18.4,0.361,14.1-20.6,0.683
96,Western Carolina,32,70.3,25.0-57.5,0.434,6.2-18.0,0.342,14.3-20.3,0.7
96,Portland,32,70.3,24.6-55.3,0.444,6.6-17.3,0.382,14.5-20.3,0.716
98,Providence,33,70.2,24.5-55.5,0.442,4.9-15.8,0.31,16.4-23.1,0.71
99,Norfolk State,33,70,24.8-53.0,0.468,5.5-16.2,0.339,14.9-22.5,0.663
99,Purdue,33,70,24.3-53.6,0.453,5.8-17.3,0.335,15.6-22.8,0.685
99,South Dakota,33,70,24.6-58.3,0.422,6.4-17.8,0.36,14.4-19.7,0.731
102,UNC Wilmington,31,69.9,25.3-57.1,0.443,5.0-14.5,0.348,14.3-21.1,0.675
102,Manhattan,32,69.9,22.9-52.7,0.435,6.5-19.2,0.34,17.5-25.3,0.694
104,Valparaiso,33,69.8,24.8-53.9,0.459,6.8-18.0,0.378,13.5-19.9,0.678
104,Siena,31,69.8,24.1-56.0,0.431,4.9-14.8,0.332,16.6-23.5,0.71
104,Fort Wayne,30,69.8,24.2-51.5,0.471,7.0-19.7,0.355,14.3-20.9,0.686
107,Quinnipiac,30,69.7,23.8-60.4,0.394,5.5-17.9,0.307,16.6-21.4,0.773
107,Wichita State,32,69.7,24.5-54.9,0.446,7.0-19.3,0.362,13.7-19.9,0.688
107,Vanderbilt,32,69.7,23.7-50.3,0.471,7.1-18.4,0.386,15.2-21.5,0.707
107,UT Martin,30,69.7,24.9-53.2,0.468,7.4-19.2,0.383,12.5-17.9,0.698
111,Southeast Missouri State,30,69.6,24.7-56.2,0.44,6.3-18.4,0.342,13.8-20.7,0.667
111,Butler,32,69.6,24.3-55.3,0.439,5.8-16.1,0.358,15.3-22.4,0.68
113,Maryland,33,69.5,22.5-51.3,0.438,7.3-19.6,0.372,17.3-22.8,0.757
113,Baylor,33,69.5,24.1-55.5,0.434,6.9-18.4,0.377,14.4-21.5,0.67
113,McNeese,31,69.5,25.5-60.4,0.423,6.2-20.0,0.311,12.2-18.7,0.651
113,Eastern Michigan,34,69.5,23.0-55.9,0.412,6.6-21.1,0.311,16.9-23.6,0.714
113,Illinois,32,69.5,23.9-57.4,0.416,7.2-20.2,0.357,14.4-18.2,0.794
118,Arizona State,32,69.4,23.6-53.2,0.444,6.8-19.6,0.348,15.4-23.0,0.668
118,SMU,33,69.4,24.6-51.4,0.479,4.2-11.6,0.359,16.0-22.7,0.705
118,Iowa,32,69.4,23.7-55.5,0.427,5.7-17.0,0.332,16.4-22.0,0.745
121,UNC Greensboro,33,69.4,25.4-57.4,0.442,6.5-18.1,0.361,12.1-18.6,0.649
121,Massachusetts,32,69.4,24.1-55.8,0.432,4.5-15.3,0.295,16.6-23.6,0.704
121,DePaul,32,69.4,23.7-54.3,0.435,7.8-22.0,0.352,14.3-19.8,0.721
124,Southern Utah,29,69.3,24.1-53.0,0.455,7.2-18.5,0.391,13.8-20.7,0.669
124,Evansville,31,69.3,24.2-50.6,0.478,4.0-11.6,0.344,16.9-22.7,0.745
124,Samford,32,69.3,24.4-54.9,0.444,6.4-18.4,0.347,14.1-20.7,0.684
124,UTEP,32,69.3,24.4-51.9,0.47,5.6-15.4,0.362,14.8-22.6,0.657
128,Saint Mary's,30,69.2,24.3-52.7,0.46,7.4-19.5,0.379,13.3-18.7,0.711
128,Little Rock,31,69.2,23.9-57.4,0.417,7.1-20.5,0.344,14.4-20.4,0.704
128,Louisville,32,69.2,24.5-57.1,0.429,5.7-18.6,0.304,14.6-22.2,0.66
128,San Francisco,32,69.2,24.5-54.2,0.451,6.3-18.6,0.341,13.9-22.2,0.629
132,Wake Forest,32,69,23.8-56.5,0.421,6.4-19.2,0.336,15.0-23.5,0.638
132,Robert Morris,33,69,24.3-54.5,0.446,6.4-16.8,0.38,14.0-19.6,0.714
132,Oral Roberts,32,69,23.2-54.5,0.426,5.7-16.5,0.346,16.8-23.6,0.715
132,North Carolina Central,32,69,24.6-50.6,0.486,6.6-18.0,0.366,13.2-19.3,0.683
136,St. Francis (BKN),34,68.9,23.8-57.1,0.416,5.6-19.0,0.295,15.8-23.3,0.68
136,South Alabama,33,68.9,23.1-54.9,0.42,6.5-19.4,0.334,16.3-23.2,0.703
136,Princeton,30,68.9,22.4-48.5,0.463,8.4-22.3,0.377,15.6-21.9,0.711
136,UAB,34,68.9,24.1-56.1,0.43,5.5-16.6,0.332,15.1-20.4,0.741
140,Bucknell,33,68.8,23.5-53.2,0.442,6.8-17.5,0.388,15.0-21.5,0.701
141,Illinois State,33,68.7,24.5-55.9,0.438,6.2-17.7,0.35,13.5-18.9,0.715
142,Washington,31,68.6,24.7-56.4,0.438,6.2-18.7,0.333,13.1-19.1,0.683
142,Grand Canyon,31,68.6,23.6-52.1,0.453,6.3-18.5,0.341,15.2-21.4,0.71
142,Green Bay,32,68.6,25.2-54.6,0.461,4.3-14.3,0.298,14.0-21.6,0.646
142,Northeastern,34,68.6,23.9-49.1,0.486,5.9-15.1,0.388,15.0-20.7,0.725
146,Colorado,32,68.5,23.6-54.2,0.436,5.3-15.5,0.34,16.1-22.4,0.716
146,New Mexico State,33,68.5,23.9-51.3,0.466,4.8-13.2,0.368,15.9-22.9,0.694
148,Wagner,30,68.4,24.1-60.1,0.4,6.0-19.1,0.312,14.3-20.5,0.696
148,Miami,33,68.4,23.4-53.8,0.434,7.9-21.9,0.361,13.8-18.7,0.737
148,Seton Hall,31,68.4,23.7-56.3,0.421,6.9-19.6,0.35,14.1-21.4,0.657
151,Georgia,32,68.3,22.8-52.3,0.435,5.6-16.4,0.344,17.2-25.0,0.689
151,SE Louisiana,32,68.3,25.2-55.0,0.459,5.8-18.5,0.313,12.1-18.2,0.665
153,Dayton,33,68.2,22.7-49.1,0.463,6.5-18.3,0.352,16.3-23.9,0.682
153,UNLV,33,68.2,24.5-55.0,0.445,7.2-19.4,0.369,12.1-18.2,0.663
153,SIU-Edwardsville,28,68.2,23.6-54.7,0.431,7.1-18.6,0.38,14.0-20.7,0.675
153,Texas Southern,34,68.2,23.4-52.6,0.444,5.3-16.5,0.32,16.2-24.4,0.662
153,TCU,33,68.2,24.0-54.8,0.437,4.5-13.9,0.327,15.7-25.5,0.615
158,Georgia Southern,31,68.1,23.6-56.9,0.415,7.5-23.9,0.316,13.3-19.9,0.669
158,Lehigh,30,68.1,24.1-54.7,0.441,5.5-15.8,0.345,14.3-19.8,0.725
158,Northern Arizona,33,68.1,22.8-56.2,0.405,6.9-19.6,0.354,15.6-21.0,0.744
161,Akron,35,68.1,23.5-56.6,0.416,9.4-26.8,0.35,11.6-17.6,0.658
162,Longwood,34,68,23.8-55.9,0.426,8.1-21.9,0.369,12.3-17.1,0.721
163,Auburn,35,67.9,21.7-53.7,0.404,7.2-20.8,0.347,17.3-26.0,0.666
163,Texas,33,67.9,23.6-54.2,0.436,6.2-18.4,0.339,14.5-20.0,0.725
163,Boston University,30,67.9,22.3-49.9,0.446,7.7-21.0,0.368,15.6-22.5,0.696
163,UC Irvine,33,67.9,25.2-54.5,0.461,6.4-16.5,0.39,11.2-16.3,0.683
167,UC Santa Barbara,32,67.8,24.2-55.2,0.438,6.7-18.1,0.371,12.8-17.3,0.74
168,North Dakota,30,67.7,23.8-54.6,0.436,6.0-18.1,0.331,14.2-20.9,0.678
168,Maryland-Eastern Shore,32,67.7,22.7-50.1,0.454,6.5-16.8,0.385,15.8-23.9,0.66
170,Yale,32,67.6,23.1-52.1,0.444,6.9-18.6,0.37,14.5-20.4,0.711
170,Syracuse,31,67.6,24.6-57.3,0.43,5.0-16.6,0.301,13.4-20.3,0.66
170,Ohio,30,67.6,24.2-55.9,0.433,7.2-21.2,0.341,11.9-16.2,0.735
173,Fairleigh Dickinson,29,67.4,23.5-57.2,0.411,7.2-21.7,0.331,13.3-19.2,0.693
173,Pittsburgh,33,67.4,24.6-55.2,0.446,4.9-14.3,0.342,13.2-19.2,0.691
173,LIU Brooklyn,30,67.4,22.6-57.5,0.392,6.5-20.0,0.324,15.8-22.9,0.689
176,Memphis,32,67.3,25.1-57.1,0.439,5.2-15.8,0.328,12.0-18.1,0.666
176,Florida Gulf Coast,32,67.3,24.6-56.9,0.431,5.9-17.5,0.337,12.3-18.3,0.672
176,Oklahoma State,31,67.3,22.8-51.8,0.439,7.0-19.9,0.35,14.8-20.4,0.726
176,Creighton,33,67.3,22.6-53.8,0.42,7.9-23.0,0.345,14.2-19.5,0.725
176,St. Bonaventure,31,67.3,23.6-55.6,0.425,5.1-16.2,0.314,14.9-21.1,0.706
181,Texas A&M,31,67.2,24.1-53.7,0.449,5.5-15.9,0.346,13.5-20.5,0.656
181,George Washington,33,67.2,23.7-53.7,0.441,5.4-15.4,0.35,14.5-21.2,0.681
181,Hampton,33,67.2,22.8-56.0,0.408,5.7-18.6,0.304,15.8-24.3,0.652
184,Troy,29,67.1,23.2-54.0,0.43,6.6-19.9,0.333,14.0-21.1,0.663
184,Rhode Island,31,67.1,23.4-51.7,0.452,4.3-14.6,0.294,16.1-24.5,0.655
186,James Madison,32,67,22.5-49.9,0.451,6.7-18.3,0.365,15.3-21.8,0.704
186,Wofford,34,67,23.5-51.3,0.458,6.3-16.8,0.376,13.6-19.8,0.689
186,Prairie View A&M,33,67,24.9-58.2,0.428,5.4-16.1,0.333,11.8-18.3,0.646
186,Weber State,30,67,21.4-50.6,0.422,7.2-20.2,0.357,17.0-22.8,0.748
186,USC,32,67,24.6-58.2,0.422,5.3-16.2,0.329,12.5-19.7,0.634
191,Penn State,34,66.9,23.4-55.7,0.42,6.7-20.0,0.334,13.4-19.3,0.695
192,New Hampshire,31,66.8,23.2-53.2,0.436,7.1-19.1,0.371,13.3-19.6,0.679
192,Marshall,32,66.8,23.1-57.5,0.401,7.8-24.6,0.316,12.9-19.9,0.648
192,Bowling Green,31,66.8,23.7-54.5,0.435,6.6-19.5,0.34,12.7-17.9,0.712
195,Alabama,32,66.7,22.1-50.5,0.438,6.5-20.5,0.316,16.0-22.2,0.72
195,Cleveland State,32,66.7,23.9-53.3,0.449,7.0-18.7,0.375,11.7-17.0,0.688
197,Florida State,33,66.6,23.1-50.6,0.457,4.5-14.2,0.313,15.9-23.7,0.669
197,Stetson,31,66.6,24.0-55.4,0.433,6.2-18.9,0.329,12.4-18.8,0.657
197,Utah State,31,66.6,23.3-51.5,0.452,7.5-19.1,0.394,12.5-18.7,0.672
200,California,33,66.5,24.9-56.6,0.44,5.6-15.6,0.359,11.2-17.2,0.649
201,Mercer,33,66.5,23.0-52.2,0.441,5.9-17.0,0.345,14.5-21.2,0.685
201,Indiana State,31,66.5,22.0-51.6,0.425,7.3-20.4,0.357,15.3-21.7,0.702
203,Texas A&M-CC,32,66.4,21.9-49.2,0.445,4.8-14.6,0.325,17.9-26.3,0.683
203,Bryant,31,66.4,22.9-54.3,0.421,7.3-21.1,0.346,13.4-17.8,0.75
205,Miami (OH),32,66.3,23.1-52.4,0.44,5.8-17.1,0.342,14.3-20.1,0.709
205,Long Beach State,33,66.3,23.1-54.8,0.421,7.0-20.4,0.342,13.2-19.3,0.683
207,Vermont,31,66.2,23.2-49.7,0.467,5.4-14.9,0.364,14.3-20.4,0.7
208,Brown,31,66.1,22.1-52.4,0.423,5.6-17.7,0.319,16.2-23.5,0.689
209,Holy Cross,30,66,23.1-54.8,0.421,6.3-18.6,0.339,13.5-18.9,0.715
209,UCF,30,66,23.5-54.0,0.434,6.7-19.2,0.35,12.4-19.2,0.643
209,Colgate,33,66,24.4-50.3,0.484,7.7-19.7,0.39,9.6-13.7,0.698
209,Delaware,30,66,22.5-54.9,0.41,6.6-19.2,0.345,14.3-20.9,0.686
213,Boston College,32,65.8,23.2-52.1,0.445,6.5-19.9,0.324,12.9-18.3,0.705
214,Kent State,32,65.7,22.6-53.0,0.427,7.1-19.6,0.36,13.5-20.8,0.646
214,Air Force,31,65.7,23.9-50.5,0.474,7.5-20.2,0.371,10.4-15.7,0.659
214,Northern Illinois,30,65.7,22.0-51.4,0.428,5.0-15.7,0.317,16.7-24.5,0.68
217,UMKC,33,65.6,21.9-53.8,0.407,6.5-19.7,0.333,15.2-21.9,0.693
218,Albany,32,65.5,22.1-50.2,0.44,6.2-17.1,0.36,15.2-20.0,0.761
219,Rider,32,65.4,23.9-54.4,0.439,5.9-18.0,0.327,11.8-19.6,0.604
219,Milwaukee,30,65.4,22.0-52.1,0.421,7.0-20.8,0.338,14.5-19.6,0.737
219,Richmond,32,65.4,23.7-51.8,0.457,6.8-19.7,0.343,11.3-16.4,0.687
219,Ball State,30,65.4,22.3-52.7,0.423,7.8-22.8,0.342,13.0-18.7,0.693
219,Northern Iowa,33,65.4,22.3-46.2,0.483,7.3-18.5,0.397,13.5-18.6,0.726
219,Old Dominion,31,65.4,23.9-54.8,0.436,5.9-17.9,0.332,11.6-17.2,0.674
225,Virginia,32,65.3,23.8-51.4,0.463,5.1-14.0,0.361,12.7-17.6,0.723
225,Virginia Tech,33,65.3,23.6-52.9,0.446,7.3-18.8,0.389,10.8-16.9,0.64
225,UC Riverside,31,65.3,22.8-54.5,0.418,6.7-19.5,0.343,13.0-19.1,0.682
225,North Texas,31,65.3,23.4-54.1,0.433,4.7-15.8,0.301,13.7-21.8,0.629
225,Central Arkansas,29,65.3,22.3-52.6,0.424,6.8-19.2,0.353,14.0-20.7,0.678
225,Stony Brook,34,65.3,23.8-56.8,0.419,5.4-16.2,0.33,12.3-18.5,0.666
231,Fresno State,32,65.2,22.7-52.9,0.428,5.6-17.5,0.32,14.3-20.7,0.69
232,Marquette,32,65.1,23.2-53.1,0.437,6.5-18.8,0.344,12.3-19.0,0.645
232,CSU Northridge,33,65.1,22.4-52.8,0.425,3.3-10.2,0.326,16.9-22.1,0.765
234,South Carolina,33,65,22.3-55.1,0.404,5.5-18.2,0.301,15.0-20.4,0.737
234,Fordham,31,65,22.9-55.3,0.415,6.0-19.8,0.305,13.1-18.0,0.726
234,Nicholls,29,65,22.8-52.1,0.438,5.3-17.1,0.313,13.9-22.2,0.626
237,Columbia,28,64.9,22.8-51.9,0.438,8.7-23.9,0.364,10.6-14.9,0.716
238,Temple,33,64.8,22.2-57.9,0.384,6.4-21.1,0.304,14.0-20.4,0.686
239,UIC,34,64.7,21.3-55.0,0.387,6.0-18.5,0.324,16.1-21.9,0.737
239,Michigan,32,64.7,22.9-53.9,0.426,7.8-21.8,0.359,11.0-14.6,0.754
241,San Diego,31,64.7,22.3-52.7,0.422,6.2-18.1,0.342,14.0-20.4,0.687
241,Monmouth,33,64.7,22.1-51.6,0.429,5.2-15.3,0.338,15.2-21.1,0.722
243,Idaho State,30,64.6,23.3-52.9,0.44,4.9-14.0,0.352,13.0-20.0,0.651
243,Austin Peay,30,64.6,22.1-55.6,0.398,5.2-17.1,0.302,15.2-22.8,0.666
243,Alcorn State,32,64.6,22.6-58.3,0.388,4.8-17.3,0.28,14.5-22.0,0.658
246,Southern,35,64.5,22.9-54.1,0.423,4.3-13.8,0.31,14.5-22.1,0.654
246,North Dakota State,32,64.5,22.3-51.8,0.43,6.9-18.1,0.38,13.0-18.8,0.693
248,Arkansas State,29,64.4,22.9-56.2,0.407,5.8-17.7,0.329,12.8-18.3,0.702
248,St. Francis (PA),31,64.4,22.5-51.3,0.439,7.1-21.0,0.336,12.3-18.3,0.674
248,Pacific,31,64.4,22.0-52.7,0.417,6.5-18.8,0.346,13.9-21.5,0.648
248,George Mason,31,64.4,22.8-53.6,0.426,4.2-13.1,0.32,14.5-21.8,0.666
248,Houston,32,64.4,22.0-56.1,0.393,8.1-25.3,0.32,12.2-18.0,0.68
253,Niagara,30,64.3,21.4-53.6,0.399,6.1-17.5,0.351,15.3-22.1,0.695
253,Jacksonville,32,64.3,21.9-53.4,0.41,6.3-17.7,0.359,14.2-21.4,0.661
253,UL Monroe,33,64.3,24.3-56.7,0.429,5.1-16.5,0.308,10.6-14.9,0.711
253,Tulsa,32,64.3,22.2-53.0,0.418,5.6-17.0,0.327,14.4-22.2,0.647
257,CS Fullerton,31,64.2,22.5-54.7,0.412,5.4-16.9,0.319,13.8-20.1,0.687
257,Canisius,30,64.2,22.6-56.2,0.402,6.4-20.3,0.315,12.7-17.8,0.71
257,Connecticut,34,64.2,22.8-52.0,0.438,6.5-18.2,0.355,12.2-17.3,0.705
257,Harvard,29,64.2,22.4-51.5,0.435,4.9-13.8,0.353,14.5-20.3,0.713
257,Wright State,31,64.2,23.1-52.2,0.442,6.3-18.4,0.34,11.8-16.9,0.697
262,Rice,32,64.1,21.2-50.6,0.42,9.0-24.9,0.362,12.7-17.1,0.739
262,East Carolina,33,64.1,22.7-53.8,0.422,7.1-20.1,0.351,11.6-17.1,0.68
264,The Citadel,30,64,21.6-47.9,0.451,6.9-17.2,0.4,14.0-18.2,0.767
265,Campbell,32,63.9,22.0-51.7,0.426,8.2-23.0,0.356,11.7-18.7,0.625
265,Liberty,32,63.9,22.4-51.8,0.432,4.8-14.8,0.326,14.3-20.3,0.703
265,Mississippi Valley State,32,63.9,23.1-59.7,0.386,4.9-16.2,0.303,12.9-19.7,0.654
265,Montana State,30,63.9,22.1-55.5,0.398,8.2-22.9,0.358,11.6-16.1,0.72
269,Abilene Christian,31,63.7,22.4-54.3,0.413,7.5-19.7,0.38,11.4-15.7,0.727
269,Pepperdine,31,63.7,22.2-52.0,0.427,4.5-14.5,0.313,14.8-19.8,0.747
269,Middle Tennessee,35,63.7,21.6-52.0,0.415,6.7-18.7,0.357,13.8-19.6,0.705
269,Florida,33,63.7,23.2-53.4,0.434,6.6-20.4,0.323,10.6-16.8,0.635
273,Tulane,31,63.6,22.5-54.8,0.411,6.4-19.7,0.326,12.1-18.7,0.649
273,CSU Bakersfield,33,63.6,21.7-51.6,0.42,5.6-16.8,0.336,14.7-20.3,0.723
273,Furman,33,63.6,21.2-49.6,0.428,6.5-19.9,0.328,14.5-21.7,0.669
273,Towson,32,63.6,21.5-52.4,0.411,4.2-13.4,0.312,16.3-24.6,0.663
277,Howard,32,63.5,21.7-50.7,0.429,4.7-15.7,0.297,15.4-22.0,0.699
