RK,TEAM,GP,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
1,Northwestern State,31,81,29.1-63.1,0.461,6.0-18.9,0.317,16.9-24.6,0.686
2,Iona,33,80.7,28.3-61.8,0.457,8.4-22.5,0.373,15.8-20.2,0.778
3,Indiana,33,80,26.9-55.3,0.486,7.3-17.8,0.411,18.9-25.4,0.745
4,Iowa State,33,79.6,27.6-60.6,0.455,9.8-26.6,0.37,14.6-20.0,0.731
5,LIU Brooklyn,33,79.5,27.1-56.0,0.484,7.4-19.1,0.385,17.9-26.0,0.69
6,Duke,32,78.3,27.3-57.4,0.476,7.8-19.1,0.406,15.8-21.7,0.732
7,Ole Miss,33,78.2,27.2-62.2,0.437,6.9-20.8,0.331,16.9-24.8,0.684
7,VMI,31,78.2,28.1-64.9,0.434,9.1-28.0,0.325,12.8-19.5,0.657
9,Detroit Mercy,32,78.1,27.8-60.4,0.459,7.3-20.8,0.349,15.4-21.4,0.719
9,Houston,31,78.1,27.5-59.0,0.466,6.1-16.6,0.37,17.0-23.8,0.713
11,VCU,33,78,28.3-62.5,0.452,8.1-22.7,0.356,13.3-19.0,0.701
12,Gonzaga,33,77.6,27.8-55.2,0.504,6.4-17.2,0.371,15.7-22.2,0.707
13,NC State,34,77.5,28.1-56.9,0.494,5.3-13.5,0.393,16.0-23.4,0.683
14,North Carolina,33,77.2,28.8-64.8,0.444,7.3-19.8,0.371,12.3-18.4,0.667
14,Belmont,32,77.2,27.7-56.0,0.494,8.5-21.9,0.386,13.3-18.2,0.733
16,East Carolina,30,77,26.5-59.0,0.45,8.1-23.1,0.352,15.8-22.0,0.717
17,CS Fullerton,32,76.6,26.7-56.8,0.47,8.3-22.0,0.378,14.8-19.6,0.758
18,BYU,32,76.5,27.7-60.4,0.458,5.6-16.8,0.335,15.6-21.6,0.721
18,Central Arkansas,30,76.5,28.5-65.6,0.435,7.1-20.3,0.352,12.3-19.4,0.632
20,Missouri,33,76.2,27.3-59.3,0.46,6.3-18.5,0.34,15.4-20.8,0.739
21,Memphis,34,75.9,27.6-57.6,0.479,6.2-16.3,0.379,14.6-21.9,0.666
22,Weber State,32,75.7,26.7-52.8,0.505,7.0-16.7,0.419,15.3-21.1,0.723
23,Saint Mary's,33,75.5,26.4-55.6,0.474,7.9-21.2,0.375,14.8-20.4,0.726
24,Creighton,34,75.4,26.7-52.6,0.508,8.8-20.8,0.421,13.3-17.7,0.75
24,Kansas,34,75.4,26.6-55.5,0.48,6.0-16.4,0.367,16.1-22.0,0.733
26,CSU Northridge,31,75.3,26.4-60.5,0.436,5.3-15.6,0.336,17.2-23.5,0.733
27,Michigan,33,75.2,28.0-57.8,0.484,7.5-19.5,0.383,11.7-16.6,0.707
28,UCLA,34,74.7,27.7-60.8,0.455,4.9-14.5,0.339,14.5-20.0,0.722
29,Illinois State,33,74.5,26.4-58.0,0.455,7.3-21.1,0.347,14.4-19.9,0.723
30,Southern Miss,34,74.4,26.8-55.4,0.483,6.8-17.5,0.387,14.1-20.4,0.694
30,Baylor,32,74.4,26.7-59.2,0.45,7.0-20.2,0.345,14.1-20.7,0.684
32,Southeast Missouri State,33,74.1,26.7-56.8,0.469,7.8-19.5,0.398,13.0-18.6,0.7
32,Bryant,30,74.1,26.2-54.7,0.48,7.0-19.7,0.354,14.7-20.3,0.721
32,Eastern Kentucky,33,74.1,25.5-54.8,0.467,8.6-24.6,0.35,14.4-18.3,0.786
35,Niagara,32,73.9,25.4-59.9,0.425,7.3-22.3,0.327,15.8-22.9,0.688
35,South Dakota State,34,73.9,26.1-55.5,0.47,7.8-19.9,0.394,13.9-18.2,0.763
35,Charleston Southern,31,73.9,25.6-60.5,0.424,9.1-25.5,0.358,13.5-18.9,0.712
38,Davidson,33,73.7,24.8-53.5,0.463,7.6-20.5,0.369,16.5-20.7,0.801
38,Arkansas,32,73.7,26.6-61.3,0.435,6.0-20.0,0.3,14.4-21.5,0.672
38,Oakland,32,73.7,24.8-56.9,0.435,7.3-20.6,0.353,16.9-24.0,0.705
41,Santa Clara,32,73.6,25.3-57.8,0.438,8.1-22.1,0.365,14.9-20.6,0.726
41,Louisville,34,73.6,25.9-58.1,0.445,5.8-17.6,0.331,16.0-22.5,0.711
43,Massachusetts,32,73.4,25.5-58.5,0.436,7.2-21.0,0.34,15.3-21.3,0.716
44,Louisiana Tech,32,73.3,25.3-61.8,0.41,7.7-23.4,0.328,15.0-21.4,0.698
44,Lehigh,30,73.3,25.4-55.1,0.462,7.7-19.6,0.394,14.8-20.1,0.736
44,Boise State,31,73.3,25.7-56.0,0.459,7.8-20.0,0.391,14.0-18.7,0.75
44,Arizona,32,73.3,25.0-55.7,0.45,7.7-21.1,0.363,15.6-20.8,0.748
44,Hawai'i,31,73.3,26.3-58.1,0.452,6.1-17.6,0.348,14.6-21.3,0.686
49,Florida Gulf Coast,34,73.1,26.5-57.6,0.46,6.8-19.9,0.339,13.3-19.7,0.677
49,Colorado State,33,73.1,25.4-56.7,0.448,5.1-15.3,0.332,17.3-24.3,0.713
49,Kentucky,32,73.1,26.3-55.5,0.474,5.7-16.3,0.349,14.8-23.1,0.64
52,Canisius,31,73,24.9-55.8,0.446,9.2-23.8,0.388,14.0-19.5,0.717
53,Ohio,33,72.9,26.3-56.2,0.467,7.9-22.8,0.348,12.5-17.9,0.697
53,Central Connecticut,30,72.9,26.2-61.1,0.428,7.1-20.1,0.352,13.5-18.4,0.732
55,Murray State,31,72.8,25.0-55.4,0.452,7.8-22.6,0.347,14.9-21.6,0.691
55,Temple,32,72.8,25.2-58.6,0.43,7.3-21.8,0.334,15.1-20.8,0.725
57,St. Bonaventure,29,72.7,24.4-54.4,0.448,7.3-19.5,0.375,16.6-21.7,0.763
57,Akron,32,72.7,26.2-57.2,0.457,7.1-21.1,0.337,13.3-20.6,0.645
59,Morehead State,33,72.6,25.5-58.6,0.435,6.1-19.0,0.321,15.5-22.4,0.691
60,La Salle,30,72.4,25.7-57.4,0.448,7.6-20.5,0.371,13.4-18.1,0.738
60,Army,31,72.4,24.7-55.5,0.446,8.1-21.8,0.37,14.9-20.3,0.733
60,Oklahoma State,32,72.4,24.8-56.3,0.44,5.6-17.6,0.316,17.3-23.0,0.75
63,Oregon State,32,72,25.9-58.0,0.447,5.8-16.0,0.364,14.4-21.5,0.67
64,Florida,32,71.9,26.3-54.4,0.484,8.3-21.8,0.382,10.9-15.8,0.688
65,Dayton,31,71.8,25.4-53.4,0.475,5.9-15.3,0.384,15.2-21.2,0.717
65,Quinnipiac,31,71.8,25.5-59.5,0.428,4.4-13.2,0.335,16.5-24.5,0.673
65,Drake,32,71.8,24.2-54.1,0.447,8.7-22.5,0.388,14.6-20.3,0.717
65,UNC Asheville,32,71.8,25.8-57.2,0.45,4.8-14.6,0.331,15.4-21.6,0.714
69,Oregon,34,71.7,25.5-57.0,0.447,5.0-15.6,0.323,15.8-22.2,0.71
69,Valparaiso,33,71.7,24.4-49.8,0.489,7.5-19.8,0.376,15.5-21.2,0.732
69,UNC Greensboro,31,71.7,25.4-60.8,0.418,7.3-21.5,0.341,13.5-20.1,0.673
69,UNLV,34,71.7,25.1-57.1,0.439,6.5-19.7,0.33,14.9-21.2,0.705
69,High Point,30,71.7,26.7-59.3,0.45,4.5-14.2,0.314,13.9-19.3,0.718
74,Austin Peay,31,71.5,25.3-55.3,0.457,7.3-19.0,0.383,13.7-20.4,0.673
74,Tennessee State,32,71.5,24.1-54.7,0.441,6.2-18.1,0.344,17.1-22.9,0.745
74,Omaha,31,71.5,26.6-57.6,0.462,6.1-17.0,0.358,12.1-17.3,0.698
77,UAB,33,71.4,26.0-60.0,0.433,6.6-19.8,0.334,12.8-17.8,0.724
77,Stanford,32,71.4,24.8-59.1,0.419,6.9-19.2,0.358,15.0-20.2,0.741
77,DePaul,32,71.4,26.5-61.0,0.434,4.8-16.2,0.299,13.6-19.3,0.704
80,Syracuse,35,71.3,25.7-58.3,0.44,6.1-18.1,0.334,13.9-20.6,0.675
81,Appalachian State,31,71.3,25.1-57.5,0.436,6.5-18.1,0.359,14.7-21.4,0.689
81,Robert Morris,33,71.3,23.7-55.1,0.43,8.6-22.6,0.38,15.3-20.6,0.744
81,UC Davis,31,71.3,25.2-53.3,0.473,8.3-20.5,0.405,12.6-17.5,0.719
81,Kent State,33,71.3,23.8-54.6,0.435,7.0-19.2,0.364,16.7-23.5,0.71
85,Middle Tennessee,33,71.2,25.0-54.0,0.463,5.4-14.2,0.378,15.8-22.8,0.693
85,Maryland,34,71.2,26.1-56.3,0.463,5.8-17.2,0.336,13.3-19.6,0.677
87,Oklahoma,31,71.1,25.2-57.7,0.436,5.0-15.2,0.326,15.8-20.8,0.76
87,Montana,31,71.1,24.2-51.0,0.474,6.9-18.0,0.385,15.8-20.6,0.768
89,Arizona State,33,71,25.8-56.3,0.457,7.1-20.8,0.341,12.4-19.6,0.632
90,UL Lafayette,33,70.8,25.1-58.6,0.427,6.8-20.1,0.341,13.8-20.6,0.671
90,LSU,31,70.8,25.4-59.3,0.428,7.5-21.2,0.356,12.4-19.8,0.625
90,UCF,31,70.8,24.8-54.7,0.453,7.1-19.9,0.357,14.1-21.9,0.644
93,Montana State,30,70.6,24.4-57.2,0.427,6.7-20.0,0.337,15.0-20.9,0.719
94,Texas State,34,70.5,24.4-58.1,0.42,6.7-20.1,0.331,15.1-21.4,0.706
94,Air Force,30,70.5,25.0-52.7,0.475,8.4-22.1,0.382,12.1-16.9,0.715
94,Northern Colorado,31,70.5,25.7-55.4,0.463,6.8-18.1,0.377,12.3-18.2,0.674
97,South Dakota,30,70.4,24.0-53.6,0.449,6.9-18.7,0.371,15.4-19.8,0.781
97,NJIT,29,70.4,24.2-57.5,0.421,6.3-17.1,0.37,15.7-23.4,0.671
97,Richmond,32,70.4,22.8-51.6,0.443,8.4-22.1,0.38,16.3-22.5,0.725
97,Iowa,33,70.4,23.8-56.5,0.422,5.2-17.5,0.3,17.4-24.0,0.726
97,Notre Dame,34,70.4,25.6-55.2,0.463,6.6-17.6,0.373,12.6-17.8,0.707
102,Stetson,31,70.3,24.8-54.3,0.456,7.4-21.4,0.347,13.4-18.9,0.705
